count_id,volume
6837,505
6842,1080
6885,73
6921,215
6960,115
6977,334
6994,59
7034,463
7040,135
7080,481
7104,64
7107,185
7109,185
7110,62
7115,104
7122,133
7123,193
7133,807
7149,157
7164,251
7165,51
7169,116
7173,36
7176,65
7182,238
7197,16
7204,94
7230,42
7231,69
7238,295
7261,32
7267,90
7268,23
7276,85
7303,85
7333,476
7346,607
7349,649
7350,715
7356,1226
7376,723
7380,13
7385,937
7403,103
7406,292
7410,14
7422,20
7423,20
7437,42
7442,142
7443,134
7457,27
7458,22
7472,87
7477,11
7482,69
7483,51
7501,46
7512,183
7523,146
7532,287
7535,298
7536,0
7550,0
7551,0
7552,0
7553,0
7554,280
7557,280
7591,126
7622,123
7631,0
7632,0
7633,0
7634,0
7635,280
7638,280
7639,359
7647,174
7668,133
7675,276
7676,190
7702,47
7710,0
7711,0
7712,0
7713,280
7714,280
7731,3695
7738,3404
7750,226
7757,365
7762,610
7815,176
7834,53
7844,94
7850,403
7856,403
7872,180
7874,207
7875,202
7887,76
7893,373
7900,73
7907,336
7909,1213
7910,620
7948,0
7954,343
7975,218
7989,405
8001,27
8077,428
8088,26
8105,3591
8138,13
8145,163
8176,789
8177,797
8209,1805
8223,2957
8228,2370
8243,790
8273,19
8292,146
8325,119
8353,330
8359,18
8361,210
8390,2398
8399,39
8401,308
8470,42
8494,265
8497,177
8526,147
8527,0
8559,2451
8565,3173
8574,1223
8577,395
8581,116
8595,115
8619,34
8635,85
8636,797
8642,139
8654,24153
8658,3153
8680,206
8687,88
8691,1062
8698,41
8700,51
8703,51
8709,104
8724,14
8726,43
8746,135
8747,93
8758,71
8759,73
8760,99
8764,41
8765,34
8779,99
8781,232
8800,16
8801,17
8828,285
8910,77
8920,90
8942,42
8947,290
8971,0
8972,0
8973,0
8974,0
8977,0
8978,0
8980,729
9008,434
9014,317
9018,72
9019,34
9024,110
9051,1250
9070,985
9105,243
9136,42
9140,77
9148,222
9178,27
9183,81
9207,68
9215,114
9216,867
9230,65
9231,0
9242,21
9247,13
9248,10
9260,0
9271,11
9288,78
9308,181
9309,455
9310,180
9314,245
9318,5
9319,34
9327,43
9328,971
9335,160
9337,380
9347,298
9354,107
9361,757
9373,0
9385,1139
9386,1076
9392,266
9399,38
9402,308
9409,55
9410,47
9419,223
9455,0
9456,0
9457,0
9458,0
9459,280
9460,280
9500,399
9501,392
9502,205
9509,464
9512,0
9529,118
9547,112
9550,327
9565,180
9575,1118
9613,0
9616,597
9623,1540
9629,480
9633,92
9652,3815
9665,1388
9677,2064
9678,1505
9686,3067
9705,1508
9746,166
9747,63
9749,498
9762,663
9770,176
9771,3292
9806,674
9827,798
9828,963
9829,1397
9838,2952
9884,35
9891,141
9893,141
9898,74
9900,293
9940,26
9946,126
9978,294
10000,77
10009,80
10013,0
10022,25
10027,10
10049,56
10050,0
10065,0
10086,26
10103,33
10104,20
10109,0
10167,268
10186,52
10211,307
10220,49
10222,466
10237,2062
10254,2098
10291,83
10323,0
10372,155
10377,125
10381,416
10384,237
10397,0
10398,0
10399,0
10400,0
10401,420
10404,0
10466,460
10502,195
10508,52
10517,54
10519,75
10529,194
10544,80
10581,193
10582,80
10593,57
10600,521
10623,129
10640,67
10642,112
10664,380
10693,95
10709,59
10714,145
10719,6425
10742,195
10750,657
10763,61
10772,150
10775,39
10780,33
10787,111
10802,7
10822,6266
10831,8943
10832,8943
10833,0
10834,0
10835,0
10836,0
10837,280
10840,280
10841,8855
10856,0
10857,3050
10906,0
10908,0
10909,560
10910,560
10924,903
10946,60
10966,278
10967,587
10971,0
11038,140
11045,292
11046,295
11047,32
11078,223
11100,752
11101,587
11118,1323
11144,0
11145,0
11146,0
11147,0
11148,280
11149,280
11175,376
11183,248
11190,64
11201,868
11205,655
11221,0
11239,694
11247,675
11250,675
11352,23
11413,45
11432,64
11472,333
11497,40
11498,40
11507,6
11529,123
11534,960
11546,56
11575,1083
11578,189
11597,23
11614,304
11625,2898
11631,9399
11632,9029
11635,3814
11643,3231
11649,363
11650,856
11664,1763
11666,1808
11693,112
11694,101
11695,166
11696,98
11703,163
11704,193
11735,0
11736,0
11737,0
11738,0
11739,280
11742,280
11750,315
11770,134
11781,1782
11793,278
11800,764
11808,0
11809,0
11810,0
11811,0
11812,560
11815,560
11834,49
11874,257
11877,361
11900,150
11914,89
11925,0
11926,0
11972,75
11986,1160
12016,190
12029,158
12059,223
12071,13
12073,24
12117,377
12135,378
12168,2127
12171,1209
12172,1209
12183,194
12189,247
12192,167
12198,554
12226,19
12227,21
12228,22
12229,126
12266,204
12300,34
12304,0
12305,0
12314,100
12331,32
12332,29
12335,23
12339,18
12342,1
12343,0
12350,1
12353,88
12355,23899
12356,21314
12363,41
12367,65
12380,0
12382,40
12388,27
12412,33
12413,18
12422,84
12434,28
12437,45
12447,151
12452,218
12454,99
12509,48
12512,36
12514,64
12516,205
12525,189
12546,268
12567,15
12575,11
12578,148
12579,148
12590,356
12614,23
12617,34
12619,0
12622,415
12623,197
12625,52
12628,56
12630,19
12634,8
12638,5
12644,47
12646,156
12652,125
12672,40
12689,32
12711,26
12716,85
12718,38
12779,140
12784,280
12785,280
12816,175
12818,1857
12827,173
12832,163
12841,45
12844,614
12854,111
12868,377
12869,74
12870,106
12873,182
12875,213
12876,120
12877,262
12878,145
12879,213
12880,213
12881,422
12882,213
12883,213
12884,187
12885,728
12886,92
12887,92
12888,92
12889,728
12896,191
12908,17
12911,102
12915,102
12916,461
12917,380
12928,206
12929,61
12930,475
12936,503
12950,56
12972,623
12973,549
12984,108
12987,53
12988,49
13029,208
13046,372
13075,55
13086,741
13095,984
13096,1414
13104,1105
13105,1280
13123,129
13135,192
13139,108
13142,76
13148,5
13156,17
13183,1877
13184,23
13229,311
13253,1451
13268,76
13271,106
13272,1395
13275,19
13280,249
13281,841
13282,913
13285,1546
13286,3837
13291,729
13292,4679
13294,5346
13296,2304
13298,1298
13299,271
13300,391
13301,360
13310,685
13318,0
13319,275
13322,2416
13328,265
13341,32007
13342,6028
13345,24055
13352,423
13353,488
13357,30
13360,170
13363,49
13364,54
13365,390
13370,30
13371,40
13372,32
13376,439
13377,372
13380,732
13381,453
13385,727
13386,758
13393,270
13394,171
13395,0
13400,5
13401,18
13402,13
13403,20
13405,58
13406,46
13407,51
13408,174
13413,229
13414,84
13416,249
13421,56
13422,33
13425,58
13426,77
13427,64
13431,17
13438,260
13439,355
13440,210
13441,115
13442,168
13445,129
13446,17
13452,26
13453,5
13454,216
13455,409
13458,85
13459,56
13460,90
13462,420
13466,141
13467,141
13474,0
13483,0
13494,0
13495,1
13496,6
13535,15
13536,6
13547,1
13588,69
13589,42
13591,66
13596,5962
13622,702
13629,1163
13634,5
13660,7
13663,540
13666,973
13702,153
13703,176
13716,19
13718,40
13742,757
13743,975
13744,203
13748,17
13758,497
13770,136
13811,140
13866,62
13900,5257
13903,680
13904,233
13907,144
13918,20
13928,27
13936,57
13966,4203
13987,707
13996,138
14004,309
14028,0
14029,0
14030,0
14033,0
14080,0
14081,0
14098,16
14110,56
14123,60
14127,429
14163,42
14220,564
14236,21154
14237,446
14256,122
14266,24
14272,655
14273,651
14280,465
14281,433
14323,388
14343,14
14359,371
14370,158
14412,193
14444,70
14483,1639
14496,491
14524,301
14530,7
14531,18
14535,39
14541,180
14567,5399
