,count_id,type,volume,xing_leg
244,257,Ped,104,WL
245,257,Sch,7,WL
246,257,Ped,0,EL
247,257,Sch,0,EL
248,264,Ped,22,SL
249,264,Sch,14,SL
250,264,Ped,22,NL
251,264,Sch,14,NL
252,264,Ped,21,WL
253,264,Sch,21,WL
254,264,Ped,2,EL
255,264,Sch,0,EL
256,270,Ped,630,SL
257,270,Sch,1,SL
258,270,Ped,778,NL
259,270,Sch,63,NL
260,270,Ped,2,WL
261,270,Sch,0,WL
262,270,Ped,300,EL
263,270,Sch,10,EL
264,280,Ped,174,SL
265,280,Sch,94,SL
266,280,Ped,18,NL
267,280,Sch,0,NL
268,280,Ped,150,WL
269,280,Sch,26,WL
270,280,Ped,137,EL
271,280,Sch,91,EL
272,289,Ped,303,SL
273,289,Sch,2,SL
274,289,Ped,1,NL
275,289,Sch,0,NL
276,289,Ped,50,WL
277,289,Sch,1,WL
278,289,Ped,177,EL
279,289,Sch,0,EL
280,292,Ped,782,SL
281,292,Sch,6,SL
282,292,Ped,939,NL
283,292,Sch,13,NL
284,292,Ped,733,WL
285,292,Sch,152,WL
286,292,Ped,372,EL
287,292,Sch,15,EL
288,293,Ped,782,SL
289,293,Sch,6,SL
290,293,Ped,939,NL
291,293,Sch,13,NL
292,293,Ped,733,WL
293,293,Sch,152,WL
294,293,Ped,372,EL
295,293,Sch,15,EL
296,308,Ped,159,SL
297,308,Sch,14,SL
298,308,Ped,135,NL
299,308,Sch,6,NL
300,308,Ped,22,WL
301,308,Sch,0,WL
302,308,Ped,0,EL
303,308,Sch,0,EL
304,315,Ped,308,SL
305,315,Sch,6,SL
306,315,Ped,350,NL
307,315,Sch,19,NL
308,315,Ped,325,WL
309,315,Sch,14,WL
310,315,Ped,400,EL
311,315,Sch,5,EL
312,316,Ped,412,SL
313,316,Sch,104,SL
314,316,Ped,634,NL
315,316,Sch,84,NL
316,316,Ped,236,WL
317,316,Sch,42,WL
318,316,Ped,593,EL
319,316,Sch,66,EL
320,331,Ped,196,SL
321,331,Sch,0,SL
322,331,Ped,286,NL
323,331,Sch,23,NL
324,331,Ped,207,WL
325,331,Sch,14,WL
326,331,Ped,556,EL
327,331,Sch,29,EL
328,341,Ped,109,SL
329,341,Sch,11,SL
330,341,Ped,15,NL
331,341,Sch,0,NL
332,341,Ped,24,WL
333,341,Sch,1,WL
334,341,Ped,32,EL
335,341,Sch,0,EL
336,344,Ped,560,SL
337,344,Sch,11,SL
338,344,Ped,859,NL
339,344,Sch,4,NL
340,344,Ped,359,WL
341,344,Sch,7,WL
342,344,Ped,914,EL
343,344,Sch,0,EL
344,351,Ped,3,SL
345,351,Sch,0,SL
346,351,Ped,149,NL
347,351,Sch,1,NL
348,351,Ped,30,WL
349,351,Sch,0,WL
350,351,Ped,165,EL
351,351,Sch,2,EL
352,355,Ped,0,SL
353,355,Sch,0,SL
354,355,Ped,109,NL
355,355,Sch,17,NL
356,355,Ped,30,WL
357,355,Sch,6,WL
358,355,Ped,4,EL
359,355,Sch,0,EL
360,359,Ped,0,SL
361,359,Sch,0,SL
362,359,Ped,90,NL
363,359,Sch,9,NL
364,359,Ped,91,WL
365,359,Sch,10,WL
366,359,Ped,0,EL
367,359,Sch,0,EL
368,372,Ped,490,SL
369,372,Sch,18,SL
370,372,Ped,315,NL
371,372,Sch,0,NL
372,372,Ped,668,WL
373,372,Sch,14,WL
374,372,Ped,536,EL
375,372,Sch,2,EL
376,382,Ped,171,SL
377,382,Sch,7,SL
378,382,Ped,282,NL
379,382,Sch,26,NL
380,382,Ped,144,WL
381,382,Sch,4,WL
382,382,Ped,7,EL
383,382,Sch,4,EL
384,385,Ped,91,SL
385,385,Sch,14,SL
386,385,Ped,37,NL
387,385,Sch,5,NL
388,385,Ped,6,WL
389,385,Sch,0,WL
390,385,Ped,105,EL
391,385,Sch,16,EL
392,391,Ped,107,SL
393,391,Sch,65,SL
394,391,Ped,154,NL
395,391,Sch,44,NL
396,391,Ped,105,WL
397,391,Sch,72,WL
398,391,Ped,246,EL
399,391,Sch,41,EL
400,392,Ped,205,SL
401,392,Sch,50,SL
402,392,Ped,122,NL
403,392,Sch,55,NL
404,392,Ped,340,WL
405,392,Sch,91,WL
406,392,Ped,161,EL
407,392,Sch,70,EL
408,394,Ped,92,SL
409,394,Sch,9,SL
410,394,Ped,75,NL
411,394,Sch,18,NL
412,394,Ped,1,WL
413,394,Sch,0,WL
414,394,Ped,62,EL
415,394,Sch,6,EL
416,402,Ped,116,SL
417,402,Sch,0,SL
418,402,Ped,70,NL
419,402,Sch,5,NL
420,402,Ped,13,WL
421,402,Sch,7,WL
422,402,Ped,177,EL
423,402,Sch,6,EL
424,424,Ped,301,SL
425,424,Sch,41,SL
426,424,Ped,85,NL
427,424,Sch,7,NL
428,424,Ped,146,WL
429,424,Sch,22,WL
430,424,Ped,120,EL
431,424,Sch,19,EL
432,432,Ped,161,SL
433,432,Sch,0,SL
434,432,Ped,41,NL
435,432,Sch,0,NL
436,432,Ped,26,WL
437,432,Sch,0,WL
438,432,Ped,366,EL
439,432,Sch,0,EL
440,449,Ped,107,SL
441,449,Sch,0,SL
442,449,Ped,136,NL
443,449,Sch,15,NL
444,449,Ped,152,WL
445,449,Sch,9,WL
446,449,Ped,76,EL
447,449,Sch,0,EL
448,451,Ped,47,SL
449,451,Sch,24,SL
450,451,Ped,17,NL
451,451,Sch,1,NL
452,451,Ped,53,WL
453,451,Sch,14,WL
454,451,Ped,50,EL
455,451,Sch,22,EL
456,511,Ped,0,SL
457,511,Sch,0,SL
458,511,Ped,2,NL
459,511,Sch,0,NL
460,511,Ped,6,WL
461,511,Sch,0,WL
462,511,Ped,20,EL
463,511,Sch,3,EL
464,515,Ped,0,SL
465,515,Sch,0,SL
466,515,Ped,25,NL
467,515,Sch,1,NL
468,515,Ped,13,WL
469,515,Sch,0,WL
470,515,Ped,10,EL
471,515,Sch,1,EL
472,517,Ped,0,SL
473,517,Sch,0,SL
474,517,Ped,1,NL
475,517,Sch,0,NL
476,517,Ped,5,WL
477,517,Sch,1,WL
478,517,Ped,50,EL
479,517,Sch,78,EL
480,518,Ped,0,SL
481,518,Sch,0,SL
482,518,Ped,140,NL
483,518,Sch,28,NL
484,518,Ped,3,WL
485,518,Sch,0,WL
486,518,Ped,140,EL
487,518,Sch,47,EL
488,519,Ped,0,SL
489,519,Sch,0,SL
490,519,Ped,35,NL
491,519,Sch,9,NL
492,519,Ped,17,WL
493,519,Sch,3,WL
494,519,Ped,34,EL
495,519,Sch,3,EL
496,520,Ped,0,SL
497,520,Sch,0,SL
498,520,Ped,129,NL
499,520,Sch,31,NL
500,520,Ped,2,WL
501,520,Sch,0,WL
502,520,Ped,85,EL
503,520,Sch,33,EL
504,526,Ped,0,SL
505,526,Sch,0,SL
506,526,Ped,59,NL
507,526,Sch,5,NL
508,526,Ped,43,WL
509,526,Sch,12,WL
510,526,Ped,6,EL
511,526,Sch,0,EL
512,541,Ped,20,SL
513,541,Sch,7,SL
514,541,Ped,24,NL
515,541,Sch,1,NL
516,541,Ped,24,WL
517,541,Sch,3,WL
518,541,Ped,16,EL
519,541,Sch,2,EL
520,547,Ped,2,SL
