,count_id,date,dayofweek,district,hours,school_day,street_ew,street_ns,weather
0,68,2011-04-25,MONDAY,YES,7-10AM 2-5PM,YES,65th PL,VAN NESS AV,SUNNY
1,70,2011-09-08,THURSDAY,YES,7-10AM 2-5PM,YES,FLORENCE AV.,KANSAS AV.,SUNNY
2,89,2007-07-23,MONDAY,YES,7-10AM 3-6PM,YES,FLORENCE AV,WEST ST,SUNNY
3,112,2010-03-08,MONDAY,YES,7-10AM 2-5PM,YES,78TH ST,SAN PEDRO ST,SUNNY
4,142,2010-04-23,FRIDAY,YES,7-10AM 3-6PM,YES,92ND ST,GRAHAM AV,SUNNY
5,151,2010-03-10,WEDNESDAY,YES,7-10AM 2-5PM,YES,110TH ST,FIGUEROA ST,SUNNY
6,168,2009-06-08,MONDAY,YES,7-10AM 2-5PM,YES,182ND ST,EVELYN AV,SUNNY
7,271,2009-11-02,MONDAY,YES,7-10AM 3-6PM,YES,JEFFERSON BL,SOMERSET DR,SUNNY
8,282,2013-04-30,TUESDAY,YES,7-10AM 3-6PM,YES,COLISEUM ST.,BRONSON AV. / MALL DRIVEWAY,SUNNY
9,321,2012-08-29,WEDNESDAY,YES,7-10AM 3-6PM,YES,JEFFERSON BL.,FIGUEROA ST.,SUNNY
10,323,2009-03-02,MONDAY,YES,7-10AM 3-6PM,YES,37TH ST,FLOWER ST,SUNNY
11,335,2009-02-26,THURSDAY,YES,7-10AM 3-6PM,YES,37TH ST,HOPE ST,SUNNY
12,362,2009-04-13,MONDAY,YES,7-10AM 2-5PM,YES,OLYMPIC BL,DACOTAH ST,SUNNY
13,503,2007-07-26,THURSDAY,YES,7-10AM 3-6PM,YES,OLYMPIC BL,FAIRFAX BL,SUNNY
14,650,2010-03-24,WEDNESDAY,YES,,YES,ADAMS BL,4TH AV,SUNNY
15,685,2007-07-12,THURSDAY,YES,7-10AM 3-6PM,YES,OLYMPIC BL,HIGHLAND AV,SUNNY
16,18169,2014-03-18,TUESDAY,YES,7-10AM 3-6PM,YES,RIVERSIDE DR.,GLENDALE BL.,SUNNY
17,18241,2014-04-29,TUESDAY,YES,7-10AM 2-5PM,YES,CAMBRIDGE ST.,HARVARD BL.,SUNNY
18,18273,2009-02-20,FRIDAY,YES,7-10AM 3-6PM,YES,VAN PELT PL,SILVER LAKE BL,SUNNY
19,18289,2009-05-19,TUESDAY,YES,7-10AM 3-6PM,YES,SILVER LAKE BL,TEVIOT ST,SUNNY
20,18321,2008-08-28,THURSDAY,YES,7-10AM 3-6PM,YES,MILBANK ST,VAN NUYS BL,SUNNY
21,18336,2010-03-16,TUESDAY,YES,7-10AM 3-6PM,YES,MIDDLEBURY ST,WESTMORELAND AV,SUNNY
22,18237,2009-06-01,MONDAY,YES,7-10AM 2-5PM,YES,SLAUSON AV,7TH AV,SUNNY
23,18253,2008-10-23,THURSDAY,YES,7-10AM 3-6PM,YES,MIRANDA ST,WHITSETT AV,SUNNY
24,18360,2009-10-22,THURSDAY,YES,7-10AM 2-5PM,YES,19TH ST,MEYLER ST,SUNNY
25,18446,2009-08-14,FRIDAY,YES,7-10AM 3-6PM,YES,WENTWORTH ST,SHELDON ST,SUNNY
26,18469,2008-04-14,MONDAY,YES,7-10AM 2-5PM,YES,SHERMAN WAY,SHIRLEY AV,SUNNY
27,18351,2008-12-29,MONDAY,YES,7-10AM 3-6PM,YES,SUNSET BL,MICHELTORENA ST,SUNNY
28,18355,2010-10-21,THURSDAY,YES,7-10AM 3-6PM,YES,SUMMERLAND AV,MEYLER ST,SUNNY
29,18489,2014-05-20,TUESDAY,YES,7-10AM,YES,NATIONAL BL.,MOTOR AV.,SUNNY
30,18490,2014-05-19,MONDAY,YES,7-10AM 12:30-2PM,YES,103rd ST.,FIRTH BL.,SUNNY
31,18526,2012-05-15,THURSDAY,YES,7-10AM 1-4PM,YES,HUSTON ST.,COLFAX AV.,SUNNY
32,18588,2014-05-29,THURSDAY,YES,7-10AM 2-5PM,YES,118th ST.,CENTRAL AV.,SUNNY
33,18632,2008-06-11,WEDNESDAY,YES,7-10AM 3-6PM,YES,MELROSE AV,NORMANDIE AV,SUNNY
34,18646,2008-07-24,THURSDAY,YES,7-10AM 3-6PM,YES,PICO BL,MEADOWBROOK AV,SUNNY
