,approach,type,volume
5519,EB,bus,0
5520,SB,dual,198
5521,SB,bike,26
5522,SB,bus,8
5523,NB,dual,100
5524,NB,bike,20
5525,NB,bus,9
5526,WB,dual,2
5527,WB,bike,0
5528,WB,bus,0
5529,EB,dual,19
5530,EB,bike,1
5531,EB,bus,0
5532,SB,dual,53
5533,SB,bike,11
5534,SB,bus,19
5535,NB,dual,70
5536,NB,bike,10
5537,NB,bus,17
5538,WB,dual,82
5539,WB,bike,43
5540,WB,bus,61
5541,EB,dual,104
5542,EB,bike,17
5543,EB,bus,63
5544,SB,dual,0
5545,SB,bike,1
5546,SB,bus,0
5547,NB,dual,5
5548,NB,bike,2
5549,NB,bus,0
5550,WB,dual,42
5551,WB,bike,13
5552,WB,bus,8
5553,EB,dual,46
5554,EB,bike,15
5555,EB,bus,12
5556,SB,dual,70
5557,SB,bike,20
5558,SB,bus,0
5559,NB,dual,66
5560,NB,bike,0
5561,NB,bus,1
5562,WB,dual,94
5563,WB,bike,30
5564,WB,bus,68
5565,EB,dual,56
5566,EB,bike,11
5567,EB,bus,54
5568,SB,dual,112
5569,SB,bike,12
5570,SB,bus,9
5571,NB,dual,123
5572,NB,bike,6
5573,NB,bus,0
5574,WB,dual,49
5575,WB,bike,0
5576,WB,bus,8
5577,EB,dual,19
5578,EB,bike,7
5579,EB,bus,0
5580,SB,dual,1
5581,SB,bike,0
5582,SB,bus,0
5583,NB,dual,0
5584,NB,bike,0
5585,NB,bus,0
5586,WB,dual,24
5587,WB,bike,17
5588,WB,bus,25
5589,EB,dual,57
5590,EB,bike,15
5591,EB,bus,50
5592,SB,dual,34
5593,SB,bike,8
5594,SB,bus,12
5595,NB,dual,92
5596,NB,bike,26
5597,NB,bus,114
5598,WB,dual,155
5599,WB,bike,24
5600,WB,bus,141
5601,EB,dual,137
5602,EB,bike,53
5603,EB,bus,117
5604,SB,dual,250
5605,SB,bike,5
5606,SB,bus,26
5607,NB,dual,136
5608,NB,bike,6
5609,NB,bus,38
5610,WB,dual,7
5611,WB,bike,3
5612,WB,bus,0
5613,EB,dual,5
5614,EB,bike,2
5615,EB,bus,0
5616,SB,dual,87
5617,SB,bike,49
5618,SB,bus,34
5619,NB,dual,131
5620,NB,bike,18
5621,NB,bus,37
5622,WB,dual,5
5623,WB,bike,7
5624,WB,bus,0
5625,EB,dual,3
5626,EB,bike,0
5627,EB,bus,0
5628,SB,dual,142
5629,SB,bike,1
5630,SB,bus,0
5631,NB,dual,39
5632,NB,bike,1
5633,NB,bus,0
5634,WB,dual,213
5635,WB,bike,13
5636,WB,bus,9
5637,EB,dual,86
5638,EB,bike,8
5639,EB,bus,8
5640,SB,dual,8
5641,SB,bike,4
5642,SB,bus,0
5643,NB,dual,2
5644,NB,bike,0
5645,NB,bus,0
5646,WB,dual,90
5647,WB,bike,10
5648,WB,bus,35
5649,EB,dual,88
5650,EB,bike,15
5651,EB,bus,31
5652,SB,dual,9
5653,SB,bike,6
5654,SB,bus,0
5655,NB,dual,14
5656,NB,bike,0
5657,NB,bus,0
5658,WB,dual,94
5659,WB,bike,45
5660,WB,bus,69
5661,EB,dual,79
5662,EB,bike,13
5663,EB,bus,59
5664,SB,dual,98
5665,SB,bike,19
5666,SB,bus,0
5667,NB,dual,121
5668,NB,bike,26
5669,NB,bus,0
5670,WB,dual,86
5671,WB,bike,1
5672,WB,bus,0
5673,EB,dual,25
5674,EB,bike,1
5675,EB,bus,0
5676,SB,dual,71
5677,SB,bike,14
5678,SB,bus,8
5679,NB,dual,71
5680,NB,bike,2
5681,NB,bus,9
5682,WB,dual,144
5683,WB,bike,30
5684,WB,bus,72
5685,EB,dual,85
5686,EB,bike,19
5687,EB,bus,60
5688,SB,dual,7
5689,SB,bike,9
5690,SB,bus,0
5691,NB,dual,18
5692,NB,bike,0
5693,NB,bus,0
5694,WB,dual,137
5695,WB,bike,17
5696,WB,bus,67
5697,EB,dual,126
5698,EB,bike,24
5699,EB,bus,64
5700,SB,dual,240
5701,SB,bike,14
5702,SB,bus,62
5703,NB,dual,179
5704,NB,bike,2
5705,NB,bus,41
5706,WB,dual,91
5707,WB,bike,9
5708,WB,bus,45
5709,EB,dual,178
5710,EB,bike,24
5711,EB,bus,66
5712,SB,dual,7
5713,SB,bike,0
5714,SB,bus,0
5715,NB,dual,7
5716,NB,bike,4
5717,NB,bus,0
5718,WB,dual,60
5719,WB,bike,19
5720,WB,bus,73
5721,EB,dual,123
5722,EB,bike,18
5723,EB,bus,17
5724,SB,dual,324
5725,SB,bike,9
5726,SB,bus,82
5727,NB,dual,235
5728,NB,bike,7
5729,NB,bus,30
5730,WB,dual,137
5731,WB,bike,24
5732,WB,bus,71
5733,EB,dual,90
5734,EB,bike,11
5735,EB,bus,69
5736,SB,dual,134
5737,SB,bike,2
5738,SB,bus,54
5739,NB,dual,155
5740,NB,bike,6
5741,NB,bus,53
5742,WB,dual,42
5743,WB,bike,1
5744,WB,bus,6
5745,EB,dual,0
5746,EB,bike,0
5747,EB,bus,0
5748,SB,dual,58
5749,SB,bike,36
5750,SB,bus,0
5751,NB,dual,33
5752,NB,bike,41
5753,NB,bus,0
5754,WB,dual,3
5755,WB,bike,21
5756,WB,bus,0
5757,EB,dual,15
5758,EB,bike,22
5759,EB,bus,0
5760,SB,dual,11
5761,SB,bike,9
5762,SB,bus,0
5763,NB,dual,0
5764,NB,bike,0
5765,NB,bus,0
5766,WB,dual,54
5767,WB,bike,31
5768,WB,bus,96
5769,EB,dual,35
5770,EB,bike,36
5771,EB,bus,97
5772,SB,dual,280
5773,SB,bike,43
5774,SB,bus,113
5775,NB,dual,268
5776,NB,bike,5
5777,NB,bus,102
5778,WB,dual,87
5779,WB,bike,1
5780,WB,bus,1
5781,EB,dual,137
5782,EB,bike,0
5783,EB,bus,5
5784,SB,dual,14
5785,SB,bike,12
5786,SB,bus,0
5787,NB,dual,0
5788,NB,bike,8
5789,NB,bus,0
5790,WB,dual,112
5791,WB,bike,52
5792,WB,bus,71
5793,EB,dual,142
5794,EB,bike,25
5795,EB,bus,67
5796,SB,dual,165
5797,SB,bike,19
5798,SB,bus,60
5799,NB,dual,164
5800,NB,bike,13
5801,NB,bus,33
5802,WB,dual,47
5803,WB,bike,9
5804,WB,bus,0
5805,EB,dual,94
5806,EB,bike,7
5807,EB,bus,15
5808,SB,dual,98
5809,SB,bike,19
5810,SB,bus,72
5811,NB,dual,104
5812,NB,bike,6
5813,NB,bus,79
5814,WB,dual,93
5815,WB,bike,5
5816,WB,bus,28
5817,EB,dual,61
5818,EB,bike,6
5819,EB,bus,28
5820,SB,dual,109
5821,SB,bike,19
5822,SB,bus,22
5823,NB,dual,145
5824,NB,bike,12
5825,NB,bus,6
5826,WB,dual,49
5827,WB,bike,6
5828,WB,bus,34
5829,EB,dual,43
5830,EB,bike,27
5831,EB,bus,69
5832,SB,dual,197
5833,SB,bike,159
5834,SB,bus,90
5835,NB,dual,110
5836,NB,bike,132
5837,NB,bus,102
5838,WB,dual,181
5839,WB,bike,110
5840,WB,bus,39
5841,EB,dual,98
5842,EB,bike,83
5843,EB,bus,105
5844,SB,dual,86
5845,SB,bike,14
5846,SB,bus,15
5847,NB,dual,105
5848,NB,bike,20
5849,NB,bus,18
5850,WB,dual,93
5851,WB,bike,33
5852,WB,bus,56
5853,EB,dual,209
5854,EB,bike,15
5855,EB,bus,69
5856,SB,dual,132
5857,SB,bike,13
5858,SB,bus,12
5859,NB,dual,47
5860,NB,bike,0
5861,NB,bus,0
5862,WB,dual,183
5863,WB,bike,17
5864,WB,bus,15
5865,EB,dual,0
5866,EB,bike,0
5867,EB,bus,0
5868,SB,dual,26
5869,SB,bike,7
5870,SB,bus,1
5871,NB,dual,8
5872,NB,bike,8
5873,NB,bus,0
5874,WB,dual,130
5875,WB,bike,41
5876,WB,bus,69
5877,EB,dual,154
5878,EB,bike,49
5879,EB,bus,61
5880,SB,dual,31
5881,SB,bike,4
5882,SB,bus,32
5883,NB,dual,31
5884,NB,bike,12
5885,NB,bus,32
5886,WB,dual,115
5887,WB,bike,18
5888,WB,bus,49
5889,EB,dual,91
5890,EB,bike,34
5891,EB,bus,54
5892,SB,dual,91
5893,SB,bike,1
5894,SB,bus,68
5895,NB,dual,147
5896,NB,bike,10
5897,NB,bus,78
5898,WB,dual,43
5899,WB,bike,5
5900,WB,bus,9
5901,EB,dual,65
5902,EB,bike,4
5903,EB,bus,8
5904,SB,dual,131
5905,SB,bike,24
5906,SB,bus,77
5907,NB,dual,97
5908,NB,bike,16
5909,NB,bus,69
5910,WB,dual,0
5911,WB,bike,0
5912,WB,bus,0
5913,EB,dual,21
5914,EB,bike,3
5915,EB,bus,0
5916,SB,dual,377
5917,SB,bike,0
5918,SB,bus,42
5919,NB,dual,620
5920,NB,bike,14
5921,NB,bus,100
5922,WB,dual,76
5923,WB,bike,5
5924,WB,bus,37
5925,EB,dual,192
5926,EB,bike,7
5927,EB,bus,4
5928,SB,dual,59
5929,SB,bike,19
5930,SB,bus,30
5931,NB,dual,82
5932,NB,bike,18
5933,NB,bus,20
5934,WB,dual,13
5935,WB,bike,21
5936,WB,bus,0
5937,EB,dual,24
5938,EB,bike,9
5939,EB,bus,0
5940,SB,dual,0
5941,SB,bike,0
5942,SB,bus,0
5943,NB,dual,58
5944,NB,bike,0
5945,NB,bus,1
5946,WB,dual,93
5947,WB,bike,32
5948,WB,bus,14
5949,EB,dual,140
5950,EB,bike,19
5951,EB,bus,11
5952,SB,dual,2
5953,SB,bike,3
5954,SB,bus,0
5955,NB,dual,0
5956,NB,bike,0
5957,NB,bus,0
5958,WB,dual,140
5959,WB,bike,25
5960,WB,bus,34
5961,EB,dual,270
5962,EB,bike,4
5963,EB,bus,48
5964,SB,dual,0
5965,SB,bike,0
5966,SB,bus,0
5967,NB,dual,80
5968,NB,bike,19
5969,NB,bus,30
5970,WB,dual,59
5971,WB,bike,24
5972,WB,bus,65
5973,EB,dual,186
5974,EB,bike,26
5975,EB,bus,131
5976,SB,dual,143
5977,SB,bike,45
5978,SB,bus,324
5979,NB,dual,0
5980,NB,bike,0
5981,NB,bus,0
5982,WB,dual,76
5983,WB,bike,35
5984,WB,bus,69
5985,EB,dual,82
5986,EB,bike,43
5987,EB,bus,88
5988,SB,dual,1
5989,SB,bike,1
5990,SB,bus,0
5991,NB,dual,4
5992,NB,bike,0
5993,NB,bus,0
5994,WB,dual,125
5995,WB,bike,20
5996,WB,bus,44
5997,EB,dual,206
5998,EB,bike,28
5999,EB,bus,60
6000,SB,dual,151
6001,SB,bike,19
6002,SB,bus,44
6003,NB,dual,156
6004,NB,bike,25
6005,NB,bus,44
6006,WB,dual,10
6007,WB,bike,9
6008,WB,bus,0
6009,EB,dual,2
6010,EB,bike,8
6011,EB,bus,0
6012,SB,dual,5
6013,SB,bike,1
6014,SB,bus,0
6015,NB,dual,35
6016,NB,bike,2
6017,NB,bus,0
6018,WB,dual,117
6019,WB,bike,35
6020,WB,bus,120
6021,EB,dual,186
6022,EB,bike,26
6023,EB,bus,131
6024,SB,dual,25
6025,SB,bike,5
6026,SB,bus,14
6027,NB,dual,27
6028,NB,bike,6
6029,NB,bus,6
6030,WB,dual,6
6031,WB,bike,0
6032,WB,bus,16
6033,EB,dual,4
6034,EB,bike,0
6035,EB,bus,0
6036,SB,dual,4
6037,SB,bike,2
6038,SB,bus,0
6039,NB,dual,4
6040,NB,bike,0
6041,NB,bus,0
6042,WB,dual,69
6043,WB,bike,11
6044,WB,bus,71
6045,EB,dual,48
6046,EB,bike,11
6047,EB,bus,49
6048,SB,dual,91
6049,SB,bike,7
6050,SB,bus,39
6051,NB,dual,100
6052,NB,bike,18
6053,NB,bus,38
6054,WB,dual,85
6055,WB,bike,20
6056,WB,bus,12
6057,EB,dual,134
6058,EB,bike,19
6059,EB,bus,11
6060,SB,dual,87
6061,SB,bike,14
6062,SB,bus,82
6063,NB,dual,94
6064,NB,bike,28
6065,NB,bus,78
6066,WB,dual,2
6067,WB,bike,7
6068,WB,bus,0
6069,EB,dual,0
6070,EB,bike,1
6071,EB,bus,0
6072,SB,dual,45
6073,SB,bike,23
6074,SB,bus,39
6075,NB,dual,41
6076,NB,bike,21
6077,NB,bus,32
6078,WB,dual,11
6079,WB,bike,1
6080,WB,bus,0
6081,EB,dual,0
6082,EB,bike,0
6083,EB,bus,0
6084,SB,dual,45
6085,SB,bike,23
6086,SB,bus,39
6087,NB,dual,41
6088,NB,bike,21
6089,NB,bus,32
6090,WB,dual,11
6091,WB,bike,1
6092,WB,bus,0
6093,EB,dual,0
6094,EB,bike,0
6095,EB,bus,0
6096,SB,dual,0
6097,SB,bike,0
6098,SB,bus,0
6099,NB,dual,266
6100,NB,bike,41
6101,NB,bus,145
6102,WB,dual,81
6103,WB,bike,32
6104,WB,bus,163
6105,EB,dual,84
6106,EB,bike,37
6107,EB,bus,173
6108,SB,dual,0
6109,SB,bike,0
6110,SB,bus,0
6111,NB,dual,253
6112,NB,bike,107
6113,NB,bus,180
6114,WB,dual,0
6115,WB,bike,0
6116,WB,bus,0
6117,EB,dual,149
6118,EB,bike,39
6119,EB,bus,45
6120,SB,dual,0
6121,SB,bike,0
6122,SB,bus,0
6123,NB,dual,253
6124,NB,bike,107
6125,NB,bus,180
6126,WB,dual,0
6127,WB,bike,0
6128,WB,bus,0
6129,EB,dual,149
6130,EB,bike,39
6131,EB,bus,45
6132,SB,dual,0
6133,SB,bike,0
6134,SB,bus,0
6135,NB,dual,7
6136,NB,bike,0
6137,NB,bus,0
6138,WB,dual,82
6139,WB,bike,20
6140,WB,bus,86
6141,EB,dual,73
6142,EB,bike,11
6143,EB,bus,88
6144,SB,dual,0
6145,SB,bike,0
6146,SB,bus,0
6147,NB,dual,8
6148,NB,bike,8
6149,NB,bus,0
6150,WB,dual,84
6151,WB,bike,46
6152,WB,bus,61
6153,EB,dual,84
6154,EB,bike,23
6155,EB,bus,57
6156,SB,dual,4
6157,SB,bike,0
6158,SB,bus,0
6159,NB,dual,5
6160,NB,bike,4
6161,NB,bus,0
6162,WB,dual,90
6163,WB,bike,43
6164,WB,bus,34
6165,EB,dual,137
6166,EB,bike,12
6167,EB,bus,47
6168,SB,dual,121
6169,SB,bike,9
6170,SB,bus,37
6171,NB,dual,112
6172,NB,bike,14
6173,NB,bus,27
6174,WB,dual,164
6175,WB,bike,9
6176,WB,bus,83
6177,EB,dual,134
6178,EB,bike,3
6179,EB,bus,107
6180,SB,dual,133
6181,SB,bike,37
6182,SB,bus,221
6183,NB,dual,85
6184,NB,bike,25
6185,NB,bus,218
6186,WB,dual,24
6187,WB,bike,3
6188,WB,bus,15
6189,EB,dual,0
6190,EB,bike,0
6191,EB,bus,0
6192,SB,dual,0
6193,SB,bike,0
6194,SB,bus,0
6195,NB,dual,281
6196,NB,bike,18
6197,NB,bus,492
6198,WB,dual,0
6199,WB,bike,0
6200,WB,bus,0
6201,EB,dual,124
6202,EB,bike,0
6203,EB,bus,235
6204,SB,dual,0
6205,SB,bike,0
6206,SB,bus,0
6207,NB,dual,185
6208,NB,bike,0
6209,NB,bus,462
6210,WB,dual,84
6211,WB,bike,0
6212,WB,bus,71
6213,EB,dual,68
6214,EB,bike,0
6215,EB,bus,80
6216,SB,dual,0
6217,SB,bike,14
6218,SB,bus,0
6219,NB,dual,195
6220,NB,bike,95
6221,NB,bus,150
6222,WB,dual,104
6223,WB,bike,35
6224,WB,bus,43
6225,EB,dual,0
6226,EB,bike,10
6227,EB,bus,0
6228,SB,dual,70
6229,SB,bike,12
6230,SB,bus,130
6231,NB,dual,80
6232,NB,bike,32
6233,NB,bus,254
6234,WB,dual,0
6235,WB,bike,1
6236,WB,bus,0
6237,EB,dual,98
6238,EB,bike,24
6239,EB,bus,41
6240,SB,dual,0
6241,SB,bike,0
6242,SB,bus,0
6243,NB,dual,199
6244,NB,bike,42
6245,NB,bus,316
6246,WB,dual,132
6247,WB,bike,31
6248,WB,bus,349
6249,EB,dual,58
6250,EB,bike,0
6251,EB,bus,163
6252,SB,dual,253
6253,SB,bike,16
6254,SB,bus,298
6255,NB,dual,1
6256,NB,bike,0
6257,NB,bus,0
6258,WB,dual,93
6259,WB,bike,17
6260,WB,bus,170
6261,EB,dual,137
6262,EB,bike,21
6263,EB,bus,111
6264,SB,dual,0
6265,SB,bike,0
6266,SB,bus,0
6267,NB,dual,251
6268,NB,bike,23
6269,NB,bus,259
6270,WB,dual,163
6271,WB,bike,0
6272,WB,bus,121
6273,EB,dual,0
6274,EB,bike,0
6275,EB,bus,0
6276,SB,dual,0
6277,SB,bike,0
6278,SB,bus,0
6279,NB,dual,130
6280,NB,bike,0
6281,NB,bus,258
6282,WB,dual,197
6283,WB,bike,15
6284,WB,bus,87
6285,EB,dual,75
6286,EB,bike,0
6287,EB,bus,53
6288,SB,dual,39
6289,SB,bike,25
6290,SB,bus,84
6291,NB,dual,124
6292,NB,bike,29
6293,NB,bus,200
6294,WB,dual,57
6295,WB,bike,0
6296,WB,bus,79
6297,EB,dual,132
6298,EB,bike,0
6299,EB,bus,63
6300,SB,dual,159
6301,SB,bike,0
6302,SB,bus,161
6303,NB,dual,165
6304,NB,bike,0
6305,NB,bus,158
6306,WB,dual,180
6307,WB,bike,0
6308,WB,bus,93
6309,EB,dual,184
6310,EB,bike,0
6311,EB,bus,79
6312,SB,dual,59
6313,SB,bike,0
6314,SB,bus,146
6315,NB,dual,182
6316,NB,bike,0
6317,NB,bus,190
6318,WB,dual,99
6319,WB,bike,0
6320,WB,bus,79
6321,EB,dual,100
6322,EB,bike,26
6323,EB,bus,72
6324,SB,dual,50
6325,SB,bike,0
6326,SB,bus,0
6327,NB,dual,203
6328,NB,bike,0
6329,NB,bus,196
6330,WB,dual,54
6331,WB,bike,0
6332,WB,bus,170
6333,EB,dual,48
6334,EB,bike,0
6335,EB,bus,0
6336,SB,dual,0
6337,SB,bike,0
6338,SB,bus,0
6339,NB,dual,236
6340,NB,bike,49
6341,NB,bus,278
6342,WB,dual,0
6343,WB,bike,0
6344,WB,bus,0
6345,EB,dual,99
6346,EB,bike,20
6347,EB,bus,103
6348,SB,dual,0
6349,SB,bike,0
6350,SB,bus,0
6351,NB,dual,278
6352,NB,bike,0
6353,NB,bus,339
6354,WB,dual,207
6355,WB,bike,0
6356,WB,bus,406
6357,EB,dual,0
6358,EB,bike,0
6359,EB,bus,0
6360,SB,dual,0
6361,SB,bike,0
6362,SB,bus,0
6363,NB,dual,2
6364,NB,bike,0
6365,NB,bus,0
6366,WB,dual,86
6367,WB,bike,12
6368,WB,bus,69
6369,EB,dual,50
6370,EB,bike,11
6371,EB,bus,80
6372,SB,dual,80
6373,SB,bike,19
6374,SB,bus,151
6375,NB,dual,217
6376,NB,bike,37
6377,NB,bus,196
6378,WB,dual,31
6379,WB,bike,95
6380,WB,bus,22
6381,EB,dual,47
6382,EB,bike,2
6383,EB,bus,35
6384,SB,dual,47
6385,SB,bike,3
6386,SB,bus,0
6387,NB,dual,11
6388,NB,bike,0
6389,NB,bus,23
6390,WB,dual,162
6391,WB,bike,4
6392,WB,bus,108
6393,EB,dual,201
6394,EB,bike,1
6395,EB,bus,244
6396,SB,dual,7
6397,SB,bike,0
6398,SB,bus,1
6399,NB,dual,8
6400,NB,bike,0
6401,NB,bus,0
6402,WB,dual,44
6403,WB,bike,0
6404,WB,bus,27
6405,EB,dual,29
6406,EB,bike,0
6407,EB,bus,28
6408,SB,dual,0
6409,SB,bike,0
6410,SB,bus,0
6411,NB,dual,3
6412,NB,bike,5
6413,NB,bus,0
6414,WB,dual,32
6415,WB,bike,30
6416,WB,bus,13
6417,EB,dual,47
6418,EB,bike,23
6419,EB,bus,10
6420,SB,dual,4
6421,SB,bike,4
6422,SB,bus,0
6423,NB,dual,0
6424,NB,bike,0
6425,NB,bus,0
6426,WB,dual,103
6427,WB,bike,6
6428,WB,bus,66
6429,EB,dual,78
6430,EB,bike,8
6431,EB,bus,84
6432,SB,dual,93
6433,SB,bike,7
6434,SB,bus,94
6435,NB,dual,142
6436,NB,bike,13
6437,NB,bus,101
6438,WB,dual,76
6439,WB,bike,5
6440,WB,bus,33
6441,EB,dual,65
6442,EB,bike,8
6443,EB,bus,72
6444,SB,dual,350
6445,SB,bike,8
6446,SB,bus,68
6447,NB,dual,107
6448,NB,bike,1
6449,NB,bus,164
6450,WB,dual,164
6451,WB,bike,13
6452,WB,bus,30
6453,EB,dual,233
6454,EB,bike,8
6455,EB,bus,71
6456,SB,dual,1085
6457,SB,bike,6
6458,SB,bus,6
6459,NB,dual,931
6460,NB,bike,0
6461,NB,bus,14
6462,WB,dual,467
6463,WB,bike,8
6464,WB,bus,15
6465,EB,dual,363
6466,EB,bike,5
6467,EB,bus,9
6468,SB,dual,9
6469,SB,bike,11
6470,SB,bus,0
6471,NB,dual,12
6472,NB,bike,12
6473,NB,bus,0
6474,WB,dual,22
6475,WB,bike,13
6476,WB,bus,0
6477,EB,dual,17
6478,EB,bike,31
6479,EB,bus,0
6480,SB,dual,25
6481,SB,bike,0
6482,SB,bus,0
6483,NB,dual,9
6484,NB,bike,0
6485,NB,bus,0
6486,WB,dual,9
6487,WB,bike,0
6488,WB,bus,0
6489,EB,dual,39
6490,EB,bike,0
6491,EB,bus,0
6492,SB,dual,54
6493,SB,bike,0
6494,SB,bus,24
6495,NB,dual,46
6496,NB,bike,0
6497,NB,bus,1
6498,WB,dual,27
6499,WB,bike,0
6500,WB,bus,21
6501,EB,dual,10
6502,EB,bike,0
6503,EB,bus,0
6504,SB,dual,69
6505,SB,bike,7
6506,SB,bus,54
6507,NB,dual,141
6508,NB,bike,19
6509,NB,bus,60
6510,WB,dual,62
6511,WB,bike,12
6512,WB,bus,0
6513,EB,dual,39
6514,EB,bike,17
6515,EB,bus,0
6516,SB,dual,50
6517,SB,bike,18
6518,SB,bus,9
6519,NB,dual,38
6520,NB,bike,12
6521,NB,bus,0
6522,WB,dual,43
6523,WB,bike,7
6524,WB,bus,22
6525,EB,dual,39
6526,EB,bike,8
6527,EB,bus,19
6528,SB,dual,5
6529,SB,bike,28
6530,SB,bus,0
6531,NB,dual,13
6532,NB,bike,0
6533,NB,bus,0
6534,WB,dual,13
6535,WB,bike,13
6536,WB,bus,0
6537,EB,dual,12
6538,EB,bike,17
6539,EB,bus,0
6540,SB,dual,88
6541,SB,bike,4
6542,SB,bus,51
6543,NB,dual,139
6544,NB,bike,13
6545,NB,bus,113
6546,WB,dual,136
6547,WB,bike,35
6548,WB,bus,41
6549,EB,dual,98
6550,EB,bike,15
6551,EB,bus,51
6552,SB,dual,163
6553,SB,bike,33
6554,SB,bus,41
6555,NB,dual,237
6556,NB,bike,48
6557,NB,bus,48
6558,WB,dual,1
6559,WB,bike,0
6560,WB,bus,0
6561,EB,dual,2
6562,EB,bike,1
6563,EB,bus,0
6564,SB,dual,52
6565,SB,bike,35
6566,SB,bus,3
6567,NB,dual,57
6568,NB,bike,65
6569,NB,bus,1
6570,WB,dual,219
6571,WB,bike,1
6572,WB,bus,262
6573,EB,dual,271
6574,EB,bike,23
6575,EB,bus,213
6576,SB,dual,168
6577,SB,bike,0
6578,SB,bus,5
6579,NB,dual,0
6580,NB,bike,0
6581,NB,bus,0
6582,WB,dual,341
6583,WB,bike,10
6584,WB,bus,61
6585,EB,dual,178
6586,EB,bike,0
6587,EB,bus,54
6588,SB,dual,37
6589,SB,bike,17
6590,SB,bus,0
6591,NB,dual,57
6592,NB,bike,26
6593,NB,bus,1
6594,WB,dual,9
6595,WB,bike,0
6596,WB,bus,0
6597,EB,dual,4
6598,EB,bike,19
6599,EB,bus,0
6600,SB,dual,35
6601,SB,bike,19
6602,SB,bus,0
6603,NB,dual,29
6604,NB,bike,4
6605,NB,bus,0
6606,WB,dual,1
6607,WB,bike,0
6608,WB,bus,0
6609,EB,dual,2
6610,EB,bike,6
6611,EB,bus,0
6612,SB,dual,0
6613,SB,bike,1
6614,SB,bus,0
6615,NB,dual,4
6616,NB,bike,1
6617,NB,bus,0
6618,WB,dual,1
6619,WB,bike,1
6620,WB,bus,0
6621,EB,dual,6
6622,EB,bike,2
6623,EB,bus,0
6624,SB,dual,72
6625,SB,bike,14
6626,SB,bus,58
6627,NB,dual,92
6628,NB,bike,11
6629,NB,bus,92
6630,WB,dual,75
6631,WB,bike,15
6632,WB,bus,10
6633,EB,dual,50
6634,EB,bike,15
6635,EB,bus,21
6636,SB,dual,0
6637,SB,bike,0
6638,SB,bus,0
6639,NB,dual,53
6640,NB,bike,3
6641,NB,bus,22
6642,WB,dual,137
6643,WB,bike,24
6644,WB,bus,139
6645,EB,dual,165
6646,EB,bike,0
6647,EB,bus,95
6648,SB,dual,29
6649,SB,bike,1
6650,SB,bus,86
6651,NB,dual,35
6652,NB,bike,2
6653,NB,bus,107
6654,WB,dual,43
6655,WB,bike,2
6656,WB,bus,34
6657,EB,dual,0
6658,EB,bike,0
6659,EB,bus,0
6660,SB,dual,40
6661,SB,bike,3
6662,SB,bus,19
6663,NB,dual,0
6664,NB,bike,0
6665,NB,bus,0
6666,WB,dual,80
6667,WB,bike,3
6668,WB,bus,30
6669,EB,dual,108
6670,EB,bike,1
6671,EB,bus,39
6672,SB,dual,13
6673,SB,bike,0
6674,SB,bus,5
6675,NB,dual,14
6676,NB,bike,1
6677,NB,bus,4
6678,WB,dual,1
6679,WB,bike,6
6680,WB,bus,0
6681,EB,dual,0
6682,EB,bike,3
6683,EB,bus,0
6684,SB,dual,141
6685,SB,bike,4
6686,SB,bus,9
6687,NB,dual,134
6688,NB,bike,9
6689,NB,bus,2
6690,WB,dual,12
6691,WB,bike,1
6692,WB,bus,5
6693,EB,dual,2
6694,EB,bike,4
6695,EB,bus,0
6696,SB,dual,2
6697,SB,bike,3
6698,SB,bus,0
6699,NB,dual,2
6700,NB,bike,0
6701,NB,bus,0
6702,WB,dual,91
6703,WB,bike,6
6704,WB,bus,53
6705,EB,dual,76
6706,EB,bike,3
6707,EB,bus,59
6708,SB,dual,0
6709,SB,bike,0
6710,SB,bus,0
6711,NB,dual,0
6712,NB,bike,0
6713,NB,bus,0
6714,WB,dual,0
6715,WB,bike,0
6716,WB,bus,0
6717,EB,dual,0
6718,EB,bike,0
6719,EB,bus,0
6720,SB,dual,29
6721,SB,bike,3
6722,SB,bus,0
6723,NB,dual,89
6724,NB,bike,66
6725,NB,bus,1
6726,WB,dual,162
6727,WB,bike,3
6728,WB,bus,284
6729,EB,dual,142
6730,EB,bike,16
6731,EB,bus,140
6732,SB,dual,250
6733,SB,bike,5
6734,SB,bus,26
6735,NB,dual,136
6736,NB,bike,6
6737,NB,bus,38
6738,WB,dual,7
6739,WB,bike,3
6740,WB,bus,0
6741,EB,dual,5
6742,EB,bike,2
6743,EB,bus,0
6744,SB,dual,132
6745,SB,bike,5
6746,SB,bus,20
6747,NB,dual,217
6748,NB,bike,8
6749,NB,bus,43
6750,WB,dual,4
6751,WB,bike,5
6752,WB,bus,0
6753,EB,dual,10
6754,EB,bike,1
6755,EB,bus,0
6756,SB,dual,354
6757,SB,bike,6
6758,SB,bus,62
6759,NB,dual,198
6760,NB,bike,0
6761,NB,bus,30
6762,WB,dual,41
6763,WB,bike,4
6764,WB,bus,26
6765,EB,dual,157
6766,EB,bike,1
6767,EB,bus,14
6768,SB,dual,28
6769,SB,bike,21
6770,SB,bus,1
6771,NB,dual,24
6772,NB,bike,32
6773,NB,bus,0
6774,WB,dual,2
6775,WB,bike,0
6776,WB,bus,0
6777,EB,dual,5
6778,EB,bike,6
6779,EB,bus,0
6780,SB,dual,12
6781,SB,bike,3
6782,SB,bus,0
6783,NB,dual,11
6784,NB,bike,0
6785,NB,bus,0
6786,WB,dual,273
6787,WB,bike,42
6788,WB,bus,49
6789,EB,dual,240
