,approach,type,volume
319,WB,bike,6
320,WB,bus,22
321,EB,dual,119
322,EB,bike,24
323,EB,bus,26
324,SB,dual,0
325,SB,bike,1
326,SB,bus,0
327,NB,dual,0
328,NB,bike,0
329,NB,bus,0
330,WB,dual,92
331,WB,bike,38
332,WB,bus,129
333,EB,dual,102
334,EB,bike,26
335,EB,bus,123
336,SB,dual,6
337,SB,bike,0
338,SB,bus,0
339,NB,dual,0
340,NB,bike,0
341,NB,bus,0
342,WB,dual,32
343,WB,bike,0
344,WB,bus,16
345,EB,dual,39
346,EB,bike,1
347,EB,bus,18
348,SB,dual,19
349,SB,bike,6
350,SB,bus,0
351,NB,dual,20
352,NB,bike,24
353,NB,bus,8
354,WB,dual,17
355,WB,bike,21
356,WB,bus,0
357,EB,dual,40
358,EB,bike,6
359,EB,bus,19
360,SB,dual,0
361,SB,bike,0
362,SB,bus,0
363,NB,dual,6
364,NB,bike,0
365,NB,bus,0
366,WB,dual,29
367,WB,bike,22
368,WB,bus,22
369,EB,dual,22
370,EB,bike,29
371,EB,bus,18
372,SB,dual,75
373,SB,bike,39
374,SB,bus,3
375,NB,dual,37
376,NB,bike,24
377,NB,bus,0
378,WB,dual,2
379,WB,bike,9
380,WB,bus,0
381,EB,dual,5
382,EB,bike,4
383,EB,bus,0
384,SB,dual,128
385,SB,bike,12
386,SB,bus,33
387,NB,dual,205
388,NB,bike,16
389,NB,bus,0
390,WB,dual,4
391,WB,bike,0
392,WB,bus,0
393,EB,dual,1
394,EB,bike,4
395,EB,bus,0
396,SB,dual,61
397,SB,bike,0
398,SB,bus,46
399,NB,dual,89
400,NB,bike,0
401,NB,bus,47
402,WB,dual,150
403,WB,bike,6
404,WB,bus,46
405,EB,dual,80
406,EB,bike,2
407,EB,bus,36
408,SB,dual,3
409,SB,bike,30
410,SB,bus,1
411,NB,dual,4
412,NB,bike,1
413,NB,bus,0
414,WB,dual,118
415,WB,bike,1
416,WB,bus,62
417,EB,dual,155
418,EB,bike,21
419,EB,bus,79
420,SB,dual,4
421,SB,bike,1
422,SB,bus,0
423,NB,dual,0
424,NB,bike,0
425,NB,bus,0
426,WB,dual,33
427,WB,bike,14
428,WB,bus,4
429,EB,dual,111
430,EB,bike,12
431,EB,bus,6
432,SB,dual,25
433,SB,bike,0
434,SB,bus,0
435,NB,dual,32
436,NB,bike,15
437,NB,bus,0
438,WB,dual,11
439,WB,bike,30
440,WB,bus,0
441,EB,dual,9
442,EB,bike,23
443,EB,bus,0
444,SB,dual,31
445,SB,bike,2
446,SB,bus,0
447,NB,dual,47
448,NB,bike,23
449,NB,bus,1
450,WB,dual,31
451,WB,bike,21
452,WB,bus,0
453,EB,dual,19
454,EB,bike,6
455,EB,bus,0
456,SB,dual,3
457,SB,bike,5
458,SB,bus,0
459,NB,dual,13
460,NB,bike,16
461,NB,bus,0
462,WB,dual,2
463,WB,bike,0
464,WB,bus,0
465,EB,dual,1
466,EB,bike,0
467,EB,bus,0
468,SB,dual,97
469,SB,bike,2
470,SB,bus,9
471,NB,dual,59
472,NB,bike,4
473,NB,bus,10
474,WB,dual,29
475,WB,bike,8
476,WB,bus,0
477,EB,dual,3
478,EB,bike,3
479,EB,bus,0
480,SB,dual,0
481,SB,bike,0
482,SB,bus,0
483,NB,dual,4
484,NB,bike,1
485,NB,bus,0
486,WB,dual,36
487,WB,bike,14
488,WB,bus,33
489,EB,dual,76
490,EB,bike,16
491,EB,bus,31
492,SB,dual,0
493,SB,bike,0
494,SB,bus,0
495,NB,dual,4
496,NB,bike,0
497,NB,bus,0
498,WB,dual,149
499,WB,bike,2
500,WB,bus,25
501,EB,dual,233
502,EB,bike,5
503,EB,bus,29
504,SB,dual,0
505,SB,bike,0
506,SB,bus,0
507,NB,dual,0
508,NB,bike,0
509,NB,bus,0
510,WB,dual,0
511,WB,bike,0
512,WB,bus,0
513,EB,dual,0
514,EB,bike,0
515,EB,bus,0
516,SB,dual,312
517,SB,bike,19
518,SB,bus,58
519,NB,dual,260
520,NB,bike,27
521,NB,bus,140
522,WB,dual,0
523,WB,bike,0
524,WB,bus,0
525,EB,dual,0
526,EB,bike,0
527,EB,bus,0
528,SB,dual,173
529,SB,bike,16
530,SB,bus,22
531,NB,dual,325
532,NB,bike,17
533,NB,bus,255
534,WB,dual,0
535,WB,bike,0
536,WB,bus,0
537,EB,dual,0
538,EB,bike,0
539,EB,bus,0
540,SB,dual,20
541,SB,bike,8
542,SB,bus,0
543,NB,dual,36
544,NB,bike,18
545,NB,bus,8
546,WB,dual,21
547,WB,bike,17
548,WB,bus,0
549,EB,dual,37
550,EB,bike,2
551,EB,bus,22
552,SB,dual,0
553,SB,bike,0
554,SB,bus,0
555,NB,dual,0
556,NB,bike,0
557,NB,bus,0
558,WB,dual,7
559,WB,bike,0
560,WB,bus,0
561,EB,dual,3
562,EB,bike,0
563,EB,bus,0
564,SB,dual,234
565,SB,bike,13
566,SB,bus,45
567,NB,dual,180
568,NB,bike,8
569,NB,bus,48
570,WB,dual,3
571,WB,bike,0
572,WB,bus,0
573,EB,dual,4
574,EB,bike,1
575,EB,bus,0
576,SB,dual,178
577,SB,bike,0
578,SB,bus,0
579,NB,dual,69
580,NB,bike,0
581,NB,bus,59
582,WB,dual,61
583,WB,bike,0
584,WB,bus,0
585,EB,dual,0
586,EB,bike,0
587,EB,bus,0
588,SB,dual,3
589,SB,bike,0
590,SB,bus,0
591,NB,dual,0
592,NB,bike,0
593,NB,bus,0
594,WB,dual,0
595,WB,bike,0
596,WB,bus,0
597,EB,dual,9
598,EB,bike,3
599,EB,bus,0
600,SB,dual,5
601,SB,bike,0
602,SB,bus,0
603,NB,dual,0
604,NB,bike,0
605,NB,bus,0
606,WB,dual,112
607,WB,bike,19
608,WB,bus,168
609,EB,dual,88
610,EB,bike,0
611,EB,bus,119
612,SB,dual,65
613,SB,bike,39
614,SB,bus,1
615,NB,dual,23
616,NB,bike,15
617,NB,bus,0
618,WB,dual,0
619,WB,bike,0
620,WB,bus,0
621,EB,dual,1
622,EB,bike,0
623,EB,bus,0
624,SB,dual,0
625,SB,bike,0
626,SB,bus,0
627,NB,dual,0
628,NB,bike,0
629,NB,bus,0
630,WB,dual,116
631,WB,bike,24
632,WB,bus,30
633,EB,dual,140
634,EB,bike,24
635,EB,bus,29
636,SB,dual,108
637,SB,bike,1
638,SB,bus,0
639,NB,dual,133
640,NB,bike,5
641,NB,bus,5
642,WB,dual,0
643,WB,bike,0
644,WB,bus,0
645,EB,dual,0
646,EB,bike,0
