ASSETID,EMPTOT
96290,3068.674829
96291,641.4468832
96292,549.0391785
96293,678.071785
96294,628.1701678
96295,680.0882955
96296,424.373357
96297,246.6249058
96298,313.6572581
96299,272.2897358
96300,1568.986359
96301,3312.325308
96303,3061.82651
96304,496.6025939
96305,429.1137328
96306,386.8629033
96307,855.5780494
96308,150.0063842
96309,209.4049467
96310,254.7187595
96311,466.3716314
96312,2164.262604
96313,456.850737
96314,7496.740495
96315,2577.187338
96316,2362.722774
96317,1561.446432
96318,4123.228872
96319,1043.396247
96320,319.500032
96321,340.0573428
96322,1499.080091
96323,337.5579255
96324,442.570024
96325,347.9876658
96326,216.410708
96327,527.1396395
96329,287.9288994
96330,468.9794614
96331,3823.302327
96332,333.6465779
96333,399.1260421
96334,234.5371178
96335,1585.839383
96336,1074.465801
96337,715.4912854
96338,432.9355465
96339,263.8096797
96340,562.2362975
96341,2588.680664
96342,2551.89342
96343,1445.682374
96344,515.6658545
96345,998.6877699
96346,244.1151299
96347,384.1895941
96348,457.715815
96349,3899.844338
96350,1930.26004
96351,2379.583551
96352,2988.597816
96353,352.53071
96354,456.1214636
96355,366.3734005
96356,583.7368522
96357,306.2361243
96358,667.209816
96359,991.2799582
96360,600.0081693
96361,1115.165021
96362,11386.40895
96363,244.4319642
96364,1531.73747
96365,1167.701711
96366,653.8940256
96368,605.6586076
96369,534.7401152
96370,827.9764897
96371,581.9410121
96372,1237.857478
96373,1380.634721
96374,505.7756403
96375,508.4172435
96376,522.1341078
96377,577.5388582
96378,2464.400143
96379,939.3505643
96380,5909.006654
96381,4715.068165
96382,4724.035832
96383,4574.219706
96384,1320.728647
96385,446.2405574
96386,601.1598057
96387,377.3507074
96388,330.5345157
96389,604.1682727
96390,443.1116263
96391,230.0568592
96393,419.6371484
96394,351.0005956
96395,227.0822904
96397,827.9915395
96399,345.2624223
96400,1428.992093
96401,1108.138984
96402,345.3837794
96403,698.1160519
96404,341.401537
96405,1185.383604
96406,548.3127219
96407,220.2139732
96408,206.7158858
96409,453.0160683
96410,775.9421804
96411,995.2639399
96412,1000.370683
96413,748.6890113
96414,3070.347886
96415,2474.800429
96416,463.0030181
96417,350.6676667
96418,260.6377738
96419,251.5000857
96421,386.6151335
96422,783.6180185
96423,246.29393
96424,492.1321252
96425,392.4077298
96426,273.1424864
96427,697.7941562
96428,375.3965293
96429,295.5578004
96430,270.0783668
96431,284.5757404
96432,286.5168303
96433,322.6049247
96434,345.8321787
96435,289.2683877
96436,661.2499688
96437,2598.875741
96438,4266.20212
96439,2475.579967
96440,8254.9227
96441,8054.259758
96442,545.4527035
96443,565.0540353
96444,300.5044234
96445,791.7946925
96446,524.8074675
96447,482.8043647
96448,1534.258557
96449,395.5050154
96450,528.7932878
96451,688.8751263
96452,555.9529849
96453,711.4503597
96454,497.9081333
96455,379.357257
96456,431.1561734
96457,409.3595037
96458,473.9414567
96459,1045.4436
96460,1156.798174
96462,520.1101568
96463,3829.531649
96464,4376.495983
96465,2004.450574
96466,4557.61717
96467,6104.73463
96468,5171.748164
96469,3325.876923
96470,5174.661684
96471,4003.831707
96472,4346.788092
96473,3545.226567
96474,3135.783324
96475,4992.213213
96476,7600.903098
96477,37398.99289
96479,8521.898425
96480,4219.424862
96481,4597.883352
96482,11538.18947
96483,18936.22034
96484,1677.771072
96485,1835.657936
96486,22578.08571
96487,1425.54629
96489,1541.399919
96490,2111.139638
96491,9377.313726
96492,6702.592028
96493,1312.04433
96494,1263.985702
96495,1137.318676
96496,3494.238486
96497,3244.669757
96498,47991.64984
96499,8704.662078
96500,14414.22562
96502,2694.555651
96503,181.6706558
96504,2402.298418
96505,243.5754267
96506,1453.32641
96507,985.7456252
96508,415.935726
96509,156.9004626
96511,236.7059457
96512,1481.116957
96513,715.7754175
96514,1203.992122
96515,598.1073476
96516,855.5539448
96518,259.291765
96519,262.7792374
96520,3304.55717
96521,331.6628056
96522,1147.908228
96523,620.5134897
96524,1275.728876
96525,729.9837503
96527,498.7387822
96528,1498.044805
96531,717.8911225
96532,443.6426944
96533,7509.238861
96534,5834.593941
96535,3597.037866
96536,4322.4457
96537,8817.545499
96538,7373.221914
96539,19042.56477
96540,1935.080099
96541,16790.34844
96542,2479.90229
96543,2535.103539
96544,2385.20174
96545,614.4054119
96546,1670.012389
96547,1038.427534
96548,1740.080296
96549,4559.719182
96550,2308.876389
96551,1633.379366
96552,1853.67411
96553,4509.526397
96554,2530.222419
96555,1930.78009
96556,55.16446241
96557,55.44812053
96558,56.61279256
96559,107.0617942
96560,34.45590616
96561,24.88670324
96562,89.34346389
96563,49.9190337
96564,24.69670303
96565,1499.885455
96566,2201.747339
96567,1134.503604
96568,373.7673744
96569,386.4477118
96570,503.2717386
96571,81.54869602
96572,176.5664899
96573,105.7001834
96575,86.91708033
96576,162.3380654
96578,76.02307528
96579,144.0914515
96580,46.12625766
96581,117.0566855
96582,211.6700768
96583,90.79646774
96585,1700.930955
96587,4214.805073
96588,1363.119463
96589,2226.258488
96590,1531.736031
96591,513.3507891
96592,951.556754
96593,833.2815623
96594,655.4092251
96595,877.6790174
96596,1045.038431
96597,398.032498
96598,929.1002061
96599,777.7930343
96600,784.6803928
96601,684.4379101
96602,1117.206397
96603,2258.136163
96604,2163.39231
96605,221.6140083
96606,848.5510323
96607,823.6497086
96608,1263.132851
96609,315.9331138
96610,1079.091374
96611,1024.744416
96613,1013.677484
96614,1011.44911
96615,2176.469984
96616,106.1104787
96617,539.2202678
96618,718.9930237
96619,322.4933482
96620,1585.663144
96621,361.299621
96622,745.4264051
96623,78.88708103
96624,58.48790604
96625,86.92933055
96626,52.04389508
96627,291.8365718
96628,820.6062711
96629,781.0602988
96630,772.4854697
96631,1129.401134
96632,2380.956429
96633,177.7775778
96634,210.6582578
96635,492.7345238
96636,364.442132
96637,348.5282359
96638,290.6193695
96641,92.73978853
96642,325.0668173
96643,767.4625705
96644,491.8429164
96645,345.4219607
96646,580.7653686
96647,501.5306976
96648,2537.628543
96649,111.0086562
96650,147.3291653
96651,159.4775208
96652,188.4421312
96656,329.0057568
96657,194.340289
96659,401.70554
96662,192.6452435
96663,230.2489488
96664,219.7642535
96665,215.8584693
96666,283.0805212
96667,486.3256008
96668,307.6150236
96669,435.0685806
96671,308.55711
96672,298.0604693
96673,413.5161555
96674,472.381799
96675,396.8229554
96676,285.3835782
96677,369.192632
96678,696.257758
96679,668.551546
96680,302.3326916
96682,111.1231747
96683,30.80008435
96684,657.8968635
96685,1614.629173
96686,506.7215419
96687,154.3850101
96688,161.1588233
96689,24.86983647
96691,47.79379655
96693,429.6525064
96694,137.6860854
96695,160.6566206
96696,74.13825061
96697,318.0117492
96698,100.7763038
96699,170.523418
96700,148.7006779
96701,18.44228117
96702,272.4833231
96703,432.8280593
96704,115.4737601
96705,122.6719787
96706,123.6074341
96707,1139.949331
96708,184.2207613
96710,56.10513098
96711,58.06300529
96712,367.3201104
96713,1969.51213
96714,300.7761678
96715,1925.023823
96716,382.3348289
96718,113.0463975
96719,62.2511696
96722,368.7332916
96723,416.9433463
96724,566.5006993
96725,504.9913218
96727,541.6929973
96728,138.3961558
96729,507.8957611
96731,69.3739239
96732,309.4910377
96733,467.5315182
96734,1164.147339
96735,2344.83669
96736,56.70319436
96737,5038.145508
96738,99.32535621
96740,5760.68491
96741,5353.928966
96742,1018.518386
96743,4037.607178
96744,1106.40639
96745,2270.333255
96746,1086.038544
96747,217.8000036
96748,39.10744588
96750,144.5411556
96751,80.24077562
96752,134.7343339
96753,2054.661884
96754,1692.324104
96755,949.9337813
96756,34.61016836
96758,1783.804387
96759,122.3951523
96761,63.27072156
96763,4877.302887
96764,65.80289178
96765,254.2630599
96766,102.2085339
96767,88.62756434
96769,1405.325438
96770,3186.016077
96771,1295.505217
96772,953.8748851
96773,809.0711511
96774,56.20099763
96775,188.6258772
96776,120.5420058
96777,346.5778017
96778,278.7895009
96779,190.0473874
96780,86.43108868
96781,212.9606341
96783,28.95857163
96784,733.8004806
96785,78.7595772
96786,1095.947751
96787,1042.505421
96788,368.0225179
96789,372.0042833
96790,4268.45583
96791,3907.302215
96792,44.26735611
96793,189.9740309
96794,122.1842773
96795,163.2292136
96796,174.9870602
96797,187.7429289
96798,884.1891198
96799,284.0631112
96800,101.7680849
96801,81.2412549
96802,61.88481175
96803,310.3076975
96804,145.8640979
96805,203.495934
96806,1612.302975
96807,743.7579718
96809,551.5223015
96810,14.5648305
96811,68.41462698
96814,56.92740096
96816,2892.198325
96817,1631.124052
96818,121.9095522
96819,220.56756
96820,264.7151432
96822,385.6394805
96823,204.3711689
96824,477.9492137
96825,3334.89369
96827,1795.177451
96828,1832.303168
96829,981.3377448
96830,172.433687
96831,273.8595308
96832,1439.095773
96833,563.0292159
96834,64.29503903
96835,447.5048853
96836,551.1408153
96837,443.2043659
96838,377.1372797
96840,355.5986038
96841,255.1717067
96842,2413.589462
96843,607.3314198
96844,714.8306452
96845,2132.365981
96846,941.378941
96847,807.7943372
96848,1442.700622
96849,1297.400691
96850,1599.258629
96851,925.8501653
96852,7853.223058
96853,10197.71924
96855,822.6441604
96856,406.5790838
96858,95.5764403
96860,390.1293452
96861,96.92899036
96862,196.2692513
96863,229.5031802
96864,323.6096307
96865,352.3243816
96866,404.3810643
96867,321.3476313
96868,661.8271003
96869,141.5828204
96870,282.9599996
96871,7652.506035
96872,1202.700688
96873,1069.231027
96874,1612.373803
96875,1103.99101
96876,5736.509961
96877,1731.025924
96878,485.2824722
96879,310.6296985
96880,490.602026
96881,446.1286889
96882,447.6932509
96884,542.5336802
96885,298.0163257
96886,265.2824074
96887,281.8349144
96888,226.1869427
96889,334.3423596
96890,203.3741889
96892,544.3482697
96893,1003.727027
96894,1262.872284
96896,1881.147901
96897,1539.369035
96898,2307.262836
96900,1644.97589
96901,1760.529029
96902,1886.818143
96903,2319.299154
96904,1145.869517
96905,555.6909341
96906,420.0919121
96907,337.957451
96908,423.0597371
96910,423.9165983
96911,255.3864077
96912,90.19278136
96913,69.76167516
96914,85.00286835
96917,902.5685192
96918,863.7880551
96919,351.8665188
96920,1562.924494
96921,1297.045945
96922,1500.904019
96923,2133.320728
96924,3571.951588
96925,2676.943974
96927,689.1967214
96928,174.4765449
96929,539.8688434
96930,486.2395439
96931,293.048549
96932,850.5980445
96933,721.1275629
96934,966.6455432
96935,279.4954873
96936,343.4010756
96937,1632.698027
96939,1574.567988
96940,184.5315961
96941,188.0656191
96943,114.3474215
96946,180.3549124
96947,476.9372325
96948,220.1344832
96949,255.3683168
96950,746.9127432
96951,475.7787808
96952,634.7276223
96953,172.0591848
96954,659.94752
96955,371.2160372
96956,424.2462208
96957,414.6243145
96958,229.6775335
96959,496.5247315
96960,88.11933834
96961,209.2269349
96962,465.346419
96963,106.7936131
96964,1058.224087
96965,239.7678401
96966,803.156377
96967,124.4970573
96969,119.1863453
96970,453.8039293
96971,489.910249
96972,563.6785718
96973,1133.915545
96974,308.7114271
96975,311.1355246
96976,597.9606826
96977,255.29372
96978,203.3576245
96980,277.0149355
96981,178.9198622
96982,54.70731623
96984,2652.801511
96985,336.857726
96987,623.0965441
96988,146.6706872
96989,298.3124877
96990,300.9946567
96991,65.03318012
96992,260.0328666
96993,2355.914988
96994,61.68728394
96996,174.6364299
96997,388.3098639
96998,122.9067367
96999,867.2549166
97000,187.420334
97002,647.2481914
97003,221.912548
97004,933.6743121
97005,22.42641176
97006,22.35362828
97007,22.54643889
97009,26.38903402
97010,18.76562388
97011,26.10677096
97012,2699.210437
97013,2940.842643
97014,665.3038368
97015,660.655708
97016,1561.013877
97017,102.5262697
97018,243.6935814
97019,3370.086277
97020,2096.374674
97021,2046.131856
97022,2174.967918
97023,1350.206014
97024,1116.800506
97026,1928.234982
97027,2473.892323
97028,633.3494533
97029,548.108534
97030,2389.748911
97031,688.0815325
97032,1439.111123
97033,936.001054
97034,1559.408237
97035,9550.348577
97036,1083.675366
97038,1244.254802
97039,55.66015811
97041,32.75508135
97042,240.2666756
97043,244.8592767
97044,422.9939839
97045,5358.193749
97046,483.0259751
97047,604.5069716
97048,1437.518557
97050,381.3048285
97051,255.2368709
97052,1285.062387
97053,481.9745273
97054,431.5056079
97055,188.9842558
97057,96.43785544
97058,272.1397106
97065,22.38070645
97067,18753.78302
97068,6543.073419
97069,655.7569716
97070,9018.59736
97071,611.7336388
97072,640.6392958
97073,1947.326651
97074,487.4222061
97075,487.0185684
97076,401.6900321
97077,657.5248159
97078,362.4591531
97079,305.4935894
97080,281.8185414
97081,268.8600876
97083,36.27298298
97084,47.56527782
97085,49.96488918
97086,30.59015567
97087,49.24406224
97088,376.9813553
97089,60.15998275
97090,1494.41793
97091,925.6278493
97093,1258.137253
97094,166.783846
97095,447.6584477
97096,436.2037809
97097,1764.23423
97098,949.1302163
97099,361.2436476
97100,544.4578206
97101,1258.130064
97102,287.3105653
97103,598.0245943
97104,382.4955661
97105,341.6251262
97106,693.2252942
97107,347.8524658
97108,335.2729453
97109,22.91803725
97110,1111.75197
97111,68.14984376
97113,69.86633419
97114,73.63415601
97115,795.2379686
97116,1618.216963
97117,1328.417525
97118,675.5494089
97119,638.3245783
97120,2200.282712
97121,633.0525895
97122,1519.949397
97123,3530.056282
97124,1605.250053
97125,1070.699047
97126,1233.833084
97127,166.4493218
97128,756.4802617
97129,727.66357
97130,571.7750961
97131,215.4018282
97132,167.3709576
97133,856.8346149
97134,291.4431044
97135,578.3953849
97136,41.49052208
97140,93.91067614
97141,3172.063692
97142,1362.799951
97143,191.0106618
97144,824.3870628
97145,224.6281631
97146,537.0553216
97147,1456.267524
97148,5319.698786
97149,1181.989546
97150,7322.914183
97151,7211.417215
97152,6478.921364
97153,2809.433824
97154,2153.320748
97155,897.5517019
97156,172.1581499
97157,653.5606673
97158,588.6205647
97159,542.4030264
97160,1171.818329
97161,1439.760329
97162,277.0954719
97163,280.8990041
97164,2302.426151
97165,238.3911176
97166,3416.697011
97167,1811.364878
97169,2440.248929
97170,1159.901794
97171,1709.201819
97172,513.9879936
97173,842.2012776
97174,881.9608115
97175,1043.875369
97177,313.002649
97178,1048.938796
97179,2777.041946
97180,36.17042571
97182,52.04646415
97183,1024.185661
97186,189.6574761
97187,3137.485182
97189,1899.760286
97190,353.3993688
97191,381.600783
97192,476.7768153
97193,452.79945
97194,562.4703419
97195,2269.965657
97196,1064.158324
97197,1665.915267
97198,2964.158202
97199,1282.331629
97200,1423.10457
97201,699.3023102
97202,76.74122668
97203,724.8621532
97204,1349.486435
97205,875.8823104
97206,667.0491047
97207,560.430083
97209,27.72587867
97210,30.48659406
97212,41.91892158
97214,82.59833729
97215,18.93801337
97216,46.11358243
97217,70.55376486
97218,606.3749049
97219,31402.37202
97220,710.238917
97221,827.3020631
97222,4158.496119
97224,1193.096035
97225,596.5727446
97226,1940.888124
97227,4660.320834
97228,5279.434747
97229,821.7535835
97230,763.7724377
97231,833.7699985
97232,145.3392676
97233,322.3912185
97234,643.9785623
97235,1754.340133
97236,44.76501611
97237,230.6167882
97238,74.89776075
97240,250.2771599
97242,454.5385791
97243,232.7322304
97244,185.1819388
97245,568.0424144
97246,455.6049547
97247,1815.5365
97248,172.4917538
97249,1723.752858
97250,1763.810589
97251,186.5468822
97252,898.9394731
97253,170.5078822
97254,499.8902755
97255,542.8414835
97256,35.52241404
97257,271.6490756
97258,1308.119449
97259,767.3834277
97260,1670.045627
97261,772.5496116
97262,829.9318403
97265,213.190739
97266,204.8231771
97267,378.5243085
97268,225.4553306
97269,389.1578129
97270,245.8399499
97271,116.8855318
97272,1024.350964
97273,403.4827122
97274,705.3115083
97275,709.6067565
97276,4724.212345
97277,2953.625052
97278,4819.15361
97279,7540.047955
97280,8917.060572
97281,6138.888778
97282,75.10582897
97283,253.2902596
97284,298.6288769
97285,267.188476
97286,353.3218517
97289,21080.03066
97291,317.0680165
97293,1116.43073
97294,137.5552356
97296,304.5488457
97297,7170.893467
97298,2654.402717
97299,47.50631931
97302,54.1464852
97304,313.5075809
97307,143.0199801
97308,319.0863291
97309,188.404644
97310,244.1082181
97312,677.8588387
97313,240.3234955
97315,671.965041
97316,1217.184783
97317,211.8413689
97318,716.8555021
97319,109.6408159
97320,68.79863922
97321,76.10363839
97322,2701.599092
97323,4238.795131
97324,4760.210394
97325,1155.95915
97326,152.9462304
97327,191.6241033
97328,206.7241089
97329,822.4730733
97330,740.7092297
97331,933.2009115
97332,1210.720726
97333,3534.540052
97334,389.589792
97335,68.79863962
97336,63.60951591
97337,322.2367261
97338,282.4495293
97339,174.2747551
97340,1778.790271
97341,4534.998366
97342,3675.942567
97343,509.3357977
97344,564.0723288
97345,458.2036752
97346,708.0825702
97349,198.9443802
97351,342.4714331
97352,179.0667421
97353,439.7538844
97354,492.1557597
97355,414.3085368
97356,288.1890141
97357,587.5659075
97358,271.9335953
97359,11.13223136
97360,27.91658551
97361,12.82066835
97362,41.23272748
97366,34.42200324
97368,481.7100651
97369,378.8264728
97370,337.6473256
97371,345.1492767
97372,732.8754047
97373,269.2422099
97374,207.7200325
97375,896.4435059
97376,119.9971335
97377,757.1784877
97378,196.703199
97379,626.9675582
97380,1132.088819
97382,887.7522475
97383,38.43194472
97384,43.55116655
97385,32.79346738
97386,30.79204901
97387,20.08570739
97388,502.214833
97389,289.4260575
97390,30.6530581
97392,54.04284991
97393,49.6498593
97394,191.7990336
97395,192.2995273
97396,437.8177649
97398,366.6304412
97399,340.2278634
97400,109.9078136
97401,176.4497386
97402,214.248991
97405,581.1654575
97406,551.3278775
97407,695.2083359
97408,317.2174635
97409,52.65113049
97410,13.77905499
97411,19.98970224
97412,251.8466837
97414,51.98142633
97416,1383.277615
97417,86.394151
97418,184.968381
97419,330.2206591
97420,439.8673766
97421,314.7520279
97422,533.8429483
97423,865.1684237
97424,355.9051751
97425,765.5491993
97426,679.8286391
97427,583.2445884
97428,165.9977691
97429,277.652197
97431,288.1520495
97432,1354.855199
97434,306.0640085
97435,2444.523024
97436,792.366909
97437,2454.652123
97438,840.7497793
97439,455.5399062
97440,364.0391366
97441,106.3623623
97442,439.5378405
97443,316.9451056
97445,447.2008285
97446,687.535989
97447,210.3320975
97448,785.6312174
97449,354.3571099
97450,43.83474758
97451,80.06623205
97452,705.7236936
97453,715.3416372
97454,349.1273072
97455,806.3010974
97456,480.0199811
97457,671.1014829
97458,720.4343687
97459,720.331804
97460,771.5215577
97461,716.4052177
97462,2451.774095
97463,715.5333318
97464,673.0008693
97466,643.0770426
97467,658.8953067
97468,478.797519
97469,244.2105976
97470,1267.656494
97471,270.7752565
97472,93.97618918
97473,64.54273361
97474,393.7387077
97475,392.7693285
97477,397.9090679
97478,1265.079449
97479,467.5571189
97480,836.6244406
97481,480.4731879
97483,172.6728775
97484,176.6910383
97485,486.8385856
97486,421.5228271
97487,213.688857
97488,2104.955304
97489,1039.726427
97490,850.0747303
97491,245.1249893
97492,406.203716
97494,399.3454094
97495,458.7114992
97496,338.6116635
97497,554.8766302
97499,1393.251308
97502,310.9065058
97503,640.1809777
97504,600.1871942
97505,502.9150564
97506,431.8614003
97507,363.4413335
97508,538.83512
97509,635.877273
97510,1509.883376
97511,759.8858231
97512,2294.862459
97513,1317.926179
97514,302.1379969
97515,705.2977916
97516,324.5802908
97517,553.1446394
97518,431.7714367
97519,582.9062032
97520,304.4562084
97521,462.0592432
97522,463.1178642
97523,263.8148741
97525,714.9427457
97527,416.0693356
97529,260.2939351
97530,35.25690795
97531,395.1118337
97532,942.2630762
97533,430.5774649
97536,798.2961482
97537,138.6882336
97538,78.04582908
97539,225.7539559
97540,108.210546
97541,264.8435951
97542,185.1581297
97544,1151.314846
97545,346.3921376
97546,366.1650354
97547,904.4084479
97548,596.8475258
97549,317.2151263
97550,505.727072
97552,399.8769108
97553,99.97015996
97554,763.3293023
97555,627.138727
97556,140.5490547
97557,106.3340162
97558,89.70963416
97559,93.71100756
97560,79.66105631
97561,534.1305142
97562,922.3310586
97563,380.1178592
97564,259.2911643
97565,340.9550241
97566,264.6144033
97567,1033.190837
97568,1239.538498
97569,64.98206078
97570,230.3262797
97571,818.1719088
97572,1151.892261
97574,446.3241568
97576,326.3634684
97578,230.1712956
97579,328.5948214
97580,213.2420126
97581,313.3849752
97582,365.0632871
97583,495.6314327
97584,665.3006092
97586,1339.16267
97588,403.6028923
97589,96.62995769
97590,56.14024558
97591,36.36297556
97592,174.0034013
97593,213.4766536
97595,238.8269575
97596,266.7683384
97597,1709.148913
97598,327.5790724
97599,887.6833559
97600,351.9730303
97601,457.2824047
97602,424.3928196
97604,392.2174283
97605,508.5144866
97606,516.3883921
97607,418.554298
97608,273.2143203
97609,1116.181983
97610,1569.552276
97611,482.4321693
97612,367.9999264
97614,78.91428706
97615,3455.612654
97616,734.214956
97617,127.4420364
97618,651.0991452
97619,51.42036729
97621,70.3055635
97622,91.63720544
97623,73.1523524
97624,69.83933817
97625,1067.802442
97626,1133.458403
97627,684.9092222
97628,493.0852799
97629,466.0011088
97630,295.0089048
97631,688.37651
97632,378.7975565
97634,408.2277811
97636,370.4840521
97637,885.3972414
97640,2499.897839
97641,3432.168494
97642,3235.080927
97644,2492.778366
97645,3362.539822
97646,64.09708231
97648,930.9425554
97649,1100.148166
97650,1225.994396
97651,1015.088485
97652,280.6145673
97653,266.1466291
97654,262.6532883
97655,401.4973459
97656,1169.053277
97657,1007.174303
97658,356.3300236
97659,412.5139784
97660,381.7074764
97661,333.1122058
97663,800.1516546
97665,607.3191008
97667,744.9191058
97668,508.6693035
97669,833.8191325
97670,382.2988509
97671,361.1985645
97672,1738.282438
97673,696.8456422
97674,519.0268458
97675,387.3913635
97676,700.1292402
97677,2292.913075
97678,38.75709642
97679,1677.974868
97680,60.46592609
97681,40.85393245
97682,277.4808455
97683,52.82962548
97684,185.1292169
97686,288.2946454
97687,790.4868514
97691,318.5915678
97692,202.7722466
97693,264.3607779
97695,154.0099184
97696,528.958755
97697,384.3491601
97698,226.3358305
97700,41.13117607
97701,18.26294411
97702,41.82401752
97703,34.56052839
97704,30.33355117
97705,38.10269344
97706,438.6584504
97707,471.8161041
97708,529.1394052
97709,141.4825116
97711,107.5500518
97712,464.9444709
97713,810.0366968
97715,425.5866608
97717,349.1369872
97718,449.9556068
97719,278.3351539
97722,625.6206895
97723,359.5564743
97724,11.13223264
97725,27.38591783
97726,26.0738929
97728,1640.86813
97729,1179.891849
