,approach,count_id,time,type,volume
110,SB,64,1994-06-20 08:15:00,am60,1532
111,SB,64,1994-06-20 16:45:00,pm60,1565
112,SB,65,1996-03-13 07:30:00,am15,423
113,SB,65,1996-03-13 17:15:00,pm15,429
114,SB,65,1996-03-13 07:30:00,am60,1571
115,SB,65,1996-03-13 17:00:00,pm60,1599
116,SB,66,1997-08-18 08:30:00,am15,479
117,SB,66,1997-08-18 17:00:00,pm15,432
118,SB,66,1997-08-18 08:00:00,am60,1792
119,SB,66,1997-08-18 16:15:00,pm60,1711
120,SB,67,1998-10-26 07:30:00,am15,490
121,SB,67,1998-10-26 15:15:00,pm15,365
122,SB,67,1998-10-26 07:30:00,am60,1850
123,SB,67,1998-10-26 15:15:00,pm60,1383
124,SB,68,2017-02-28 08:30:00,am15,384
125,SB,68,2017-02-28 16:30:00,pm15,438
126,SB,68,2017-02-28 08:00:00,am60,1425
127,SB,68,2017-02-28 15:45:00,pm60,1720
128,SB,74,1995-05-17 07:45:00,am15,650
129,SB,74,1995-05-17 17:00:00,pm15,836
130,SB,74,1995-05-17 07:30:00,am60,2402
131,SB,74,1995-05-17 17:00:00,pm60,3231
132,SB,75,2001-02-22 08:00:00,am15,645
133,SB,75,2001-02-22 17:00:00,pm15,758
134,SB,75,2001-02-22 07:30:00,am60,2381
135,SB,75,2001-02-22 16:45:00,pm60,2913
136,SB,76,1994-01-12 07:45:00,am15,153
137,SB,76,1994-01-12 15:45:00,pm15,101
138,SB,76,1994-01-12 07:15:00,am60,430
139,SB,76,1994-01-12 15:30:00,pm60,368
140,SB,77,1995-02-16 07:45:00,am15,764
141,SB,77,1995-02-16 17:15:00,pm15,768
142,SB,77,1995-02-16 07:30:00,am60,2521
143,SB,77,1995-02-16 17:00:00,pm60,3008
144,SB,78,1997-04-09 07:45:00,am15,692
145,SB,78,1997-04-09 17:45:00,pm15,810
146,SB,78,1997-04-09 07:30:00,am60,2571
147,SB,78,1997-04-09 17:00:00,pm60,3176
148,SB,81,2015-04-15 08:30:00,am15,591
149,SB,81,2015-04-15 15:15:00,pm15,544
150,SB,81,2015-04-15 08:30:00,am60,2280
151,SB,81,2015-04-15 17:00:00,pm60,2076
152,SB,82,2015-04-16 08:15:00,am15,582
153,SB,82,2015-04-16 17:30:00,pm15,532
154,SB,82,2015-04-16 08:45:00,am60,2265
155,SB,82,2015-04-16 16:45:00,pm60,2031
156,SB,83,7.45,am15,592
157,SB,83,5.45,pm15,681
158,SB,83,7.45,am60,2159
159,SB,83,5.00,pm60,2580
160,SB,84,2011-05-03 08:45:00,am15,574
161,SB,84,2011-05-03 17:00:00,pm15,645
162,SB,84,2011-05-03 08:30:00,am60,2233
163,SB,84,2011-05-03 17:00:00,pm60,2496
164,SB,85,8.30,am15,538
165,SB,85,3.30,pm15,642
166,SB,85,8.00,am60,2041
167,SB,85,3.30,pm60,2447
168,SB,88,7.45,am15,513
169,SB,88,3.45,pm15,630
170,SB,88,7.45,am60,2010
171,SB,88,4.30,pm60,2462
172,SB,99,2001-01-29 07:45:00,am15,30
173,SB,99,2001-01-29 15:00:00,pm15,19
174,SB,99,2001-01-29 07:30:00,am60,79
175,SB,99,2001-01-29 15:00:00,pm60,59
176,SB,100,1994-12-09 07:30:00,am15,21
177,SB,100,1994-12-09 16:00:00,pm15,9
178,SB,100,1994-12-09 07:15:00,am60,47
179,SB,100,1994-12-09 16:00:00,pm60,17
180,SB,101,1997-04-21 09:15:00,am15,5
181,SB,101,1997-04-21 16:00:00,pm15,9
182,SB,101,1997-04-21 07:15:00,am60,15
183,SB,101,1997-04-21 15:15:00,pm60,29
184,SB,103,2005-10-31 07:45:00,am15,115
185,SB,103,2005-10-31 17:15:00,pm15,143
186,SB,103,2005-10-31 07:00:00,am60,399
187,SB,103,2005-10-31 16:45:00,pm60,530
188,SB,105,1996-09-27 08:00:00,am15,479
189,SB,105,1996-09-27 17:30:00,pm15,653
190,SB,105,1996-09-27 07:30:00,am60,1757
191,SB,105,1996-09-27 17:00:00,pm60,2589
192,SB,107,2001-01-29 07:45:00,am15,67
193,SB,107,2001-01-29 17:15:00,pm15,48
194,SB,107,2001-01-29 07:15:00,am60,199
195,SB,107,2001-01-29 17:00:00,pm60,178
