,count_id,type,volume,xing_leg
244,280,Ped,150,WL
245,280,Sch,26,WL
246,280,Ped,137,EL
247,280,Sch,91,EL
248,289,Ped,303,SL
249,289,Sch,2,SL
250,289,Ped,1,NL
251,289,Sch,0,NL
252,289,Ped,50,WL
253,289,Sch,1,WL
254,289,Ped,177,EL
255,289,Sch,0,EL
256,292,Ped,782,SL
257,292,Sch,6,SL
258,292,Ped,939,NL
259,292,Sch,13,NL
260,292,Ped,733,WL
261,292,Sch,152,WL
262,292,Ped,372,EL
263,292,Sch,15,EL
264,293,Ped,782,SL
265,293,Sch,6,SL
266,293,Ped,939,NL
267,293,Sch,13,NL
268,293,Ped,733,WL
269,293,Sch,152,WL
270,293,Ped,372,EL
271,293,Sch,15,EL
272,308,Ped,159,SL
273,308,Sch,14,SL
274,308,Ped,135,NL
275,308,Sch,6,NL
276,308,Ped,22,WL
277,308,Sch,0,WL
278,308,Ped,0,EL
279,308,Sch,0,EL
280,315,Ped,308,SL
281,315,Sch,6,SL
282,315,Ped,350,NL
283,315,Sch,19,NL
284,315,Ped,325,WL
285,315,Sch,14,WL
286,315,Ped,400,EL
287,315,Sch,5,EL
288,316,Ped,412,SL
289,316,Sch,104,SL
290,316,Ped,634,NL
291,316,Sch,84,NL
292,316,Ped,236,WL
293,316,Sch,42,WL
294,316,Ped,593,EL
295,316,Sch,66,EL
296,331,Ped,196,SL
297,331,Sch,0,SL
298,331,Ped,286,NL
299,331,Sch,23,NL
300,331,Ped,207,WL
301,331,Sch,14,WL
302,331,Ped,556,EL
303,331,Sch,29,EL
304,341,Ped,109,SL
305,341,Sch,11,SL
306,341,Ped,15,NL
307,341,Sch,0,NL
308,341,Ped,24,WL
309,341,Sch,1,WL
310,341,Ped,32,EL
311,341,Sch,0,EL
312,344,Ped,560,SL
313,344,Sch,11,SL
314,344,Ped,859,NL
315,344,Sch,4,NL
316,344,Ped,359,WL
317,344,Sch,7,WL
318,344,Ped,914,EL
319,344,Sch,0,EL
320,351,Ped,3,SL
321,351,Sch,0,SL
322,351,Ped,149,NL
323,351,Sch,1,NL
324,351,Ped,30,WL
325,351,Sch,0,WL
326,351,Ped,165,EL
327,351,Sch,2,EL
328,355,Ped,0,SL
329,355,Sch,0,SL
330,355,Ped,109,NL
331,355,Sch,17,NL
332,355,Ped,30,WL
333,355,Sch,6,WL
334,355,Ped,4,EL
335,355,Sch,0,EL
336,359,Ped,0,SL
337,359,Sch,0,SL
338,359,Ped,90,NL
339,359,Sch,9,NL
340,359,Ped,91,WL
341,359,Sch,10,WL
342,359,Ped,0,EL
343,359,Sch,0,EL
344,372,Ped,490,SL
345,372,Sch,18,SL
346,372,Ped,315,NL
347,372,Sch,0,NL
348,372,Ped,668,WL
349,372,Sch,14,WL
350,372,Ped,536,EL
351,372,Sch,2,EL
352,382,Ped,171,SL
353,382,Sch,7,SL
354,382,Ped,282,NL
355,382,Sch,26,NL
356,382,Ped,144,WL
357,382,Sch,4,WL
358,382,Ped,7,EL
359,382,Sch,4,EL
360,385,Ped,91,SL
361,385,Sch,14,SL
362,385,Ped,37,NL
363,385,Sch,5,NL
364,385,Ped,6,WL
365,385,Sch,0,WL
366,385,Ped,105,EL
367,385,Sch,16,EL
368,391,Ped,107,SL
369,391,Sch,65,SL
370,391,Ped,154,NL
371,391,Sch,44,NL
372,391,Ped,105,WL
373,391,Sch,72,WL
374,391,Ped,246,EL
375,391,Sch,41,EL
376,392,Ped,205,SL
377,392,Sch,50,SL
378,392,Ped,122,NL
379,392,Sch,55,NL
380,392,Ped,340,WL
381,392,Sch,91,WL
382,392,Ped,161,EL
383,392,Sch,70,EL
384,394,Ped,92,SL
385,394,Sch,9,SL
386,394,Ped,75,NL
387,394,Sch,18,NL
388,394,Ped,1,WL
389,394,Sch,0,WL
390,394,Ped,62,EL
391,394,Sch,6,EL
392,402,Ped,116,SL
393,402,Sch,0,SL
394,402,Ped,70,NL
395,402,Sch,5,NL
396,402,Ped,13,WL
397,402,Sch,7,WL
398,402,Ped,177,EL
399,402,Sch,6,EL
400,424,Ped,301,SL
401,424,Sch,41,SL
402,424,Ped,85,NL
403,424,Sch,7,NL
404,424,Ped,146,WL
405,424,Sch,22,WL
406,424,Ped,120,EL
407,424,Sch,19,EL
408,432,Ped,161,SL
409,432,Sch,0,SL
410,432,Ped,41,NL
411,432,Sch,0,NL
412,432,Ped,26,WL
413,432,Sch,0,WL
414,432,Ped,366,EL
415,432,Sch,0,EL
