,approach,count_id,time,type,volume
157,EB,18741,3.00,pm60,92
158,WB,18741,3.45,pm60,384
159,SB,18741,4.00,pm60,1316
160,NB,18301,4.00,pm60,105
161,EB,18301,3.30,pm60,1213
162,WB,18301,4.00,pm60,702
163,SB,18301,2.15,pm60,20
164,NB,18432,2.15,pm60,35
165,EB,18432,3.15,pm60,1383
166,WB,18432,3.45,pm60,1923
167,SB,18432,2.00,pm60,0
168,NB,18516,2.00,pm60,0
169,EB,18516,2.00,pm60,0
170,WB,18516,2.00,pm60,0
171,SB,18516,2.00,pm60,0
172,NB,18529,3.15,pm60,954
173,EB,18529,3.00,pm60,0
174,WB,18529,3.00,pm60,0
175,SB,18529,4.15,pm60,981
176,NB,18589,5.00,pm60,1687
177,EB,18589,3.00,pm60,0
178,WB,18589,3.00,pm60,0
179,SB,18589,3.00,pm60,1065
180,NB,18626,9.00,pm15,662
181,EB,18626,8.15,pm15,497
182,WB,18626,8.00,pm15,462
183,SB,18626,7.45,pm15,484
184,NB,18645,3.15,pm60,25
185,EB,18645,3.15,pm60,65
186,WB,18645,4.30,pm60,109
187,SB,18645,3.00,pm60,0
188,NB,18694,4.00,pm60,1671
189,EB,18694,2.15,pm60,60
190,WB,18694,2.00,pm60,43
191,SB,18694,4.00,pm60,1275
192,NB,18761,5.00,pm60,2189
193,EB,18761,3.00,pm60,0
194,WB,18761,4.00,pm60,579
195,SB,18761,5.00,pm60,1107
196,NB,18491,3.00,pm60,0
197,EB,18491,3.15,pm60,32
198,WB,18491,3.00,pm60,0
199,SB,18491,4.45,pm60,35
200,NB,18748,2.00,pm60,0
201,EB,18748,4.00,pm60,1324
202,WB,18748,3.15,pm60,1350
203,SB,18748,4.00,pm60,124
204,NB,18751,3.00,pm60,524
205,EB,18751,4.00,pm60,32
206,WB,18751,3.00,pm60,38
207,SB,18751,2.30,pm60,469
208,NB,18830,1.30,pm60,0
209,EB,18830,3.00,pm60,1085
210,WB,18830,3.30,pm60,693
211,SB,18830,2.30,pm60,18
212,NB,18837,8.30,pm15,320
213,,18837,,,
214,WB,18837,8.30,pm15,0
215,SB,18837,9.15,pm15,254
216,NB,18675,3.00,pm60,0
217,EB,18675,3.00,pm60,0
218,WB,18675,3.00,pm60,0
219,SB,18675,3.00,pm60,0
220,NB,18728,3.15,pm60,270
221,EB,18728,3.00,pm60,844
222,WB,18728,3.00,pm60,1006
223,SB,18728,2.45,pm60,372
224,NB,18735,2.00,pm60,175
225,EB,18735,4.00,pm60,21
226,WB,18735,2.00,pm60,17
227,SB,18735,4.00,pm60,156
228,NB,18773,3.00,pm60,260
229,EB,18773,4.00,pm60,1287
230,WB,18773,2.45,pm60,589
231,SB,18773,2.45,pm60,204
232,NB,18927,4.45,pm60,355
233,EB,18927,5.00,pm60,1252
234,WB,18927,4.45,pm60,501
235,SB,18927,5.00,pm60,798
236,NB,18986,3.00,pm60,0
237,EB,18986,5.00,pm60,1159
238,WB,18986,5.00,pm60,2094
239,SB,18986,5.00,pm60,883
240,NB,18815,5.00,pm60,1732
241,EB,18815,3.00,pm60,0
242,WB,18815,3.30,pm60,918
243,SB,18815,3.45,pm60,943
244,NB,18926,5.00,pm60,979
245,EB,18926,4.45,pm60,911
246,WB,18926,4.30,pm60,706
247,SB,18926,4.00,pm60,1130
248,NB,19013,15.30,pm60,1036
249,EB,19013,16.45,pm60,297
250,WB,19013,16.45,pm60,164
251,SB,19013,16.15,pm60,947
252,NB,19015,17.00,pm60,1638
253,EB,19015,0.00,pm60,0
254,WB,19015,17.00,pm60,683
255,SB,19015,16.45,pm60,2082
256,NB,19016,15.00,pm60,584
257,EB,19016,15.00,pm60,1246
258,WB,19016,17.00,pm60,1417
259,SB,19016,17.00,pm60,807
260,NB,19018,17.00,pm60,972
261,EB,19018,16.45,pm60,603
262,WB,19018,17.00,pm60,143
263,SB,19018,16.30,pm60,866
264,NB,19023,16.45,pm60,1152
265,EB,19023,15.00,pm60,1664
266,WB,19023,17.00,pm60,2655
267,SB,19023,16.30,pm60,960
268,NB,19027,15.00,pm60,1341
269,EB,19027,15.45,pm60,739
270,WB,19027,15.00,pm60,538
271,SB,19027,16.00,pm60,1855
272,NB,19040,16.45,pm60,1845
273,EB,19040,17.00,pm60,694
274,WB,19040,17.00,pm60,625
275,SB,19040,17.00,pm60,575
276,NB,19041,16.45,pm60,2150
277,EB,19041,17.00,pm60,1046
278,WB,19041,17.00,pm60,1366
279,SB,19041,17.00,pm60,699
280,NB,19042,0.00,pm60,0
281,EB,19042,17.00,pm60,605
282,WB,19042,17.00,pm60,725
283,SB,19042,17.00,pm60,1676
284,NB,19044,0.00,pm60,0
285,EB,19044,17.00,pm60,489
286,WB,19044,17.00,pm60,572
287,SB,19044,17.00,pm60,1393
288,NB,19045,16.45,pm60,3073
289,EB,19045,0.00,pm60,0
290,WB,19045,17.00,pm60,689
291,SB,19045,17.00,pm60,2555
292,NB,19046,15.45,pm60,106
293,EB,19046,16.15,pm60,462
294,WB,19046,17.00,pm60,561
295,SB,19046,16.00,pm60,64
296,NB,19049,16.00,pm60,1201
297,EB,19049,15.00,pm60,905
298,WB,19049,17.00,pm60,753
299,SB,19049,15.00,pm60,720
300,NB,19052,17.00,pm60,917
301,EB,19052,17.00,pm60,1705
302,WB,19052,17.00,pm60,1177
303,SB,19052,16.45,pm60,948
304,NB,19060,15.00,pm60,1547
305,EB,19060,15.00,pm60,1247
306,WB,19060,15.00,pm60,1224
307,SB,19060,15.00,pm60,1239
308,NB,19061,15.00,pm60,464
309,EB,19061,15.00,pm60,1353
310,WB,19061,15.00,pm60,1059
311,SB,19061,15.00,pm60,455
312,NB,19062,15.00,pm60,893
313,EB,19062,7.30,pm15,1288
314,WB,19062,15.00,pm60,797
315,SB,19062,15.00,pm60,640
316,NB,19065,0.00,pm60,0
317,EB,19065,0.00,pm60,0
318,WB,19065,0.00,pm60,0
319,SB,19065,0.00,pm60,0
320,NB,19066,7.30,pm15,719
321,EB,19066,7.45,pm15,1045
322,WB,19066,7.00,pm15,981
323,SB,19066,7.00,pm15,1686
324,NB,19067,7.30,pm15,535
325,EB,19067,8.00,pm15,1066
326,WB,19067,7.15,pm15,1213
327,SB,19067,7.15,pm15,1383
328,NB,19068,16.30,pm60,1212
329,EB,19068,15.00,pm60,1185
330,WB,19068,17.00,pm60,1412
331,SB,19068,16.45,pm60,1011
332,NB,19069,7.30,pm15,48
333,EB,19069,7.30,pm15,1192
334,WB,19069,7.15,pm15,803
335,SB,19069,8.00,pm15,902
336,NB,19070,7.30,pm15,769
337,EB,19070,8.15,pm15,794
338,WB,19070,7.15,pm15,727
339,SB,19070,7.00,pm15,1275
340,NB,19072,3.00,pm60,0
341,EB,19072,3.15,pm60,1028
342,WB,19072,5.00,pm60,1277
343,SB,19072,5.00,pm60,497
344,NB,19075,4.15,pm60,929
345,EB,19075,3.00,pm60,875
346,WB,19075,5.00,pm60,1091
347,SB,19075,4.45,pm60,776
348,NB,19123,4.00,pm60,1543
349,EB,19123,4.30,pm15,182
350,WB,19123,3.00,pm60,0
